event,node,start,end
form start,,1623913153901,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623913153905,1623913172214
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623913172238,1623913175283
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623913175293,1623913187112
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623913187125,1623913191349
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623913191364,1623913233741
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623913233757,1623913236515
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623913236535,1623913238870
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623913238877,1623913242098
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623913242110,1623913244306
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623913244315,1623913248050
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623913248064,1623913426407
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623913426420,1623913428359
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623913428382,1623913431720
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623913431737,1623913436738
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623913436751,1623913488370
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623913488407,1623913497634
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623913497653,1623913701146
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623913701161,1623913708192
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623913708204,1623913764621
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623913764667,1623913853370
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623913853427,1623913946971
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623913947042,1623913948500
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623913948518,1623913961077
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623913961092,1623913973874
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623913973891,1623913986391
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623913986405,1623914001178
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623914001189,1623914007203
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623914007218,1623914017817
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623914017835,1623914030791
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623914030800,1623914042640
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623914042659,1623914044494
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623914044512,1623914058398
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623914058415,1623914073839
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623914073857,1623914084741
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623914084758,1623914088688
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623914088706,1623914102791
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623914102810,1623914108094
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623914108111,1623914115149
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623914115164,1623914137957
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623914137991,1623914150515
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623914150529,1623914156927
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623914156946,1623914172164
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623914172182,1623914174484
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623914174502,1623914178287
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623914178305,1623914193653
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623914193683,1623914198388
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623914198403,1623914202954
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623914202966,1623914208510
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/non_palestinian_threats,1623914208526,1623914215905
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623914215921,1623914217738
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623914217755,1623914251819
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623914251845,1623914258622
