event,node,start,end
form start,,1623756891666,
form resume,,1623824348335,
jump,,1623824348336,1623824356789
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623824351696,1623824356789
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623824356818,1623824359291
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623824359297,1623824367709
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623824367715,1623824372208
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623824372217,1623824383373
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623824383380,1623824386033
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623824386039,1623824390776
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623824390782,1623824393504
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623824393510,1623824409980
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623824409987,1623824419182
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623824419189,1623824422106
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623824422113,1623824428703
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623824428710,1623824430819
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623824430824,1623824433427
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623824433435,1623824437347
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623824437353,1623824443317
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623824443325,1623824536974
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623824537006,1623824539967
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623824539976,1623824547979
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623824547986,1623824557637
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623824557644,1623824564530
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623824564536,1623824566909
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623824566920,1623824576936
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623824576942,1623824735497
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623824735524,1623824840915
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623824840938,1623824932616
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623824932645,1623824937385
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623824937390,1623824938835
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623824938843,1623824955347
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623824955354,1623824975440
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623824975446,1623825010038
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623825010044,1623825019522
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623825019528,1623825041525
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623825041532,1623825046443
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623825046450,1623825066131
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623825066137,1623825116491
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/num_disability,1623825116498,1623825119977
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_sex,1623825119983,1623825122602
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_age,1623825122608,1623825126655
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_hearing,1623825126661,1623825130499
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623825130505,1623825132133
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/difficulty_accessing_services,1623825132139,1623825145995
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623825146002,1623825174793
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623825174799,1623825181389
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623825181399,1623825186168
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623825186174,1623825208134
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/type_of_pss,1623825208141,1623825234924
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623825234932,1623825237425
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623825237431,1623825240470
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623825240477,1623825242150
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623825242155,1623825256728
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623825256735,1623825268820
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623825268827,1623825278359
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623825278372,1623825294128
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623825294133,1623825296820
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623825296827,1623825324611
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623825324617,1623825331943
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623825331952,1623825335568
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623825335577,1623825379894
