event,node,start,end
form start,,1623912923121,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623912923123,1623912926837
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623912926891,1623912928663
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623912928673,1623912935059
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623912935073,1623912937623
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623912937640,1623912955451
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623912955464,1623912956973
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623912956991,1623912959721
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623912959742,1623912962203
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623912962219,1623913267287
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623913267302,1623913269594
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623913269607,1623913274335
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623913274351,1623913276094
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623913276107,1623913278264
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623913278279,1623913289229
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623913289245,1623913318851
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623913318915,1623913320852
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623913320871,1623913325412
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623913325421,1623913340681
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623913340697,1623913418207
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623913418270,1623913488073
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623913488131,1623913547839
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623913547900,1623913548884
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623913548899,1623913559283
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623913559298,1623913568093
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623913568107,1623913609338
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623913609358,1623913612460
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623913612474,1623913629010
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623913629025,1623913630918
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623913630936,1623913640527
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623913640543,1623913649508
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623913649520,1623913650456
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623913650470,1623913666941
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623913666956,1623913669762
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623913669776,1623913673648
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623913673663,1623913674471
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623913674485,1623913680644
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623913680661,1623913681512
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623913681527,1623913683574
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623913683585,1623913684842
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623913684854,1623913687371
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623913687386,1623913690575
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623913690591,1623913695020
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623913695037,1623913699018
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623913699030,1623913712515
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623913712530,1623913751095
question,/ahLxPkShSJwCFf2hsNoEbs/wash/water_coping_mechanism,1623913751151,1623913774891
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623913774907,1623913778953
question,/ahLxPkShSJwCFf2hsNoEbs/wash/water_coping_mechanism,1623913778992,1623913781380
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623913781403,1623913782791
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623913782830,1623913783758
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623913783776,1623913791179
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623913791214,1623913793835
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623913793859,1623913800260
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623913800268,1623913810543
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623913810565,1623913811509
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623913811524,1623913813486
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623913813498,1623913824680
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623913824727,1623913828099
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623913828124,1623913830302
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623913830314,1623913832649
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/non_palestinian_threats,1623913832668,1623913834996
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623913835013,1623913835857
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623913835873,1623913844340
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623913844376,1623913848409
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623913848426,1623913863851
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623913863871,1623913880169
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623913880189,1623913889747
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623913889766,1623913897479
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623913897499,1623913907247
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623913907258,1623913908242
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623913908263,1623913916245
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623913916266,1623913923557
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623913923570,1623913952165
