event,node,start,end
form start,,1623928563107,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623928563109,1623928568636
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623928568651,1623928571302
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623928571313,1623928575058
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623928575071,1623928579876
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623928579895,1623928613577
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623928613595,1623928615195
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623928615211,1623928617894
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623928617908,1623928620264
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623928620278,1623928621966
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623928621975,1623928623487
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623928623504,1623928628712
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623928628731,1623928630170
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623928630180,1623928632649
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623928632667,1623928635768
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623928635787,1623928648834
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623928648887,1623928649650
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623928649665,1623928652652
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623928652665,1623928654354
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623928654366,1623928675925
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623928675989,1623928688663
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623928688704,1623928709258
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623928709325,1623928710220
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623928710239,1623928718975
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623928718988,1623928722018
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623928722031,1623928724432
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623928724450,1623928726295
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623928726314,1623928727259
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623928727277,1623928729098
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623928729110,1623928730443
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623928730458,1623928731991
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623928732002,1623928733023
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623928733044,1623928734246
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623928734265,1623928734609
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623928734619,1623928734961
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623928734973,1623928736719
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623928736736,1623928739271
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623928739289,1623928740535
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623928740544,1623928741973
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623928741984,1623928743399
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623928743412,1623928745218
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623928745228,1623928749189
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_hh_sharing_sanitation,1623928749210,1623928749957
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623928749971,1623928751081
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623928751093,1623928753305
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623928753318,1623928754666
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623928754679,1623928756188
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623928756210,1623928760446
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623928760470,1623928765399
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623928765412,1623928770071
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623928770093,1623928799939
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623928799954,1623928803255
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623928803268,1623928806257
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623928806274,1623928815671
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623928815719,1623928819393
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623928819401,1623928823137
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623928823158,1623928825767
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623928825789,1623928827392
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623928827412,1623928829183
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623928829200,1623928836178
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623928836229,1623928838516
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623928838527,1623928840599
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623928840612,1623928842179
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/non_palestinian_threats,1623928842193,1623928844897
