event,node,start,end
form start,,1623836330505,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623836330507,1623836334963
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623836334978,1623836337014
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623836337028,1623836345315
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623836345331,1623836348076
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623836348093,1623836355825
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623836355844,1623836359319
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623836359337,1623836361640
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623836361656,1623836364456
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623836364465,1623836372516
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623836372528,1623836378049
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623836378068,1623836445833
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623836445856,1623836447956
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623836447976,1623836449164
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623836449180,1623836450781
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623836450800,1623836454580
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623836454600,1623836458304
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623836458320,1623836541374
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623836541430,1623836542577
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623836542594,1623836544333
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623836544355,1623836545676
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623836545698,1623836551119
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623836551142,1623836552410
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623836552430,1623836553762
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623836553780,1623836556999
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623836557018,1623836699152
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623836699204,1623836740925
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623836740945,1623836781117
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623836781171,1623836786239
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623836786249,1623836791386
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623836791406,1623836810106
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623836810124,1623836811610
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623836811632,1623836820089
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623836820097,1623836851337
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623836851394,1623836853646
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623836853671,1623836856423
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623836856487,1623836863544
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623836863565,1623836865026
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623836865048,1623836890530
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623836890547,1623837163628
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623837163685,1623837389617
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623837389659,1623837492867
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623837492935,1623837497759
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623837497779,1623837518415
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623837518432,1623837535534
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623837535552,1623837548817
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623837548843,1623837573689
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623837573705,1623837609810
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623837609835,1623837631517
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623837631531,1623837633576
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623837633597,1623837646087
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623837646103,1623837668392
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623837668408,1623837702403
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623837702423,1623837708996
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623837709015,1623837716597
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623837716609,1623837721506
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623837721520,1623837734114
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623837734135,1623837738676
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623837738691,1623837751117
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623837751135,1623837759265
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623837759279,1623837797116
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623837797137,1623837813993
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623837814028,1623837835078
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623837835093,1623837840187
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623837840196,1623837857154
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623837857169,1623837860996
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623837861017,1623837882260
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623837882279,1623837923549
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623837923602,1623837928298
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623837928318,1623837934967
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623837934989,1623837951899
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/non_palestinian_threats,1623837951920,1623837955310
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623837955331,1623837969433
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/non_palestinian_threats,1623837969449,1623837982794
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623837982812,1623837986328
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623837986348,1623838023299
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623838023326,1623838027874
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623838027892,1623838028754
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623838028784,1623838034007
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623838034027,1623838073957
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623838073976,1623838076355
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623838076373,1623838081525
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623838081542,1623838114936
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623838114957,1623838131768
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623838131781,1623838139012
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623838139026,1623838144282
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623838144298,1623838162542
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623838162561,1623838176944
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623838176961,1623838186714
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623838186732,1623838197828
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623838197845,1623838198992
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623838199013,1623838202250
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623838202272,1623838203579
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623838203599,1623838207186
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/reasons_for_debt,1623838207206,1623838229888
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/debt_due_to_covid,1623838229913,1623838237447
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623838237465,1623838248367
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/debt_due_to_covid,1623838248385,1623838248994
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/reasons_for_debt,1623838249008,1623838249922
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623838249939,1623838251282
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/reasons_for_debt,1623838251294,1623838252935
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/debt_due_to_covid,1623838252953,1623838384436
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623838384460,1623838405440
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623838405460,1623838652801
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/working_adults,1623838652839,1623838671810
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/unemployed_adults,1623838671827,1623838679975
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/barriers_to_employment,1623838679993,1623838715828
