event,node,start,end
form start,,1623920714232,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623920714235,1623920718286
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623920718291,1623920720542
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623920720546,1623920723312
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623920723322,1623920725052
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623920725058,1623920736427
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623920736438,1623920738565
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623920738570,1623920753908
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623920753917,1623920756159
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623920756164,1623920759767
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623920759773,1623920762051
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623920762057,1623920819863
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623920819870,1623920828993
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623920829001,1623920832030
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623920832039,1623920852764
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623920852772,1623920855051
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623920855055,1623920857210
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623920857215,1623920861693
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623920861699,1623920863744
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623920863750,1623921154033
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623921154067,1623921189335
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623921189341,1623921218296
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623921218329,1623921219270
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623921219276,1623921222213
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623921222220,1623921283033
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623921283047,1623921286154
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623921286160,1623921288512
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623921288521,1623921291054
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623921291063,1623921310039
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623921310068,1623921311682
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623921311689,1623921321532
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623921321539,1623921322378
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623921322384,1623921451485
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623921451509,1623921534444
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623921534465,1623921702211
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623921702241,1623921717823
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food_freq,1623921717830,1623921737566
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623921737572,1623921739009
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623921739019,1623921750921
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623921750929,1623921763453
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623921763460,1623921789668
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623921789674,1623921793963
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623921793968,1623921809020
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623921809027,1623921816414
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623921816423,1623921829026
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623921829037,1623921841951
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623921841956,1623921843355
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623921843362,1623921868282
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623921868289,1623921881232
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623921881241,1623921883295
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623921883300,1623921894622
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623921894633,1623921897287
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623921897293,1623921898729
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623921898737,1623921906749
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623921906755,1623921916794
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623921916800,1623921923665
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623921923672,1623921930991
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623921931007,1623921936248
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623921936253,1623921952197
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623921952205,1623921954770
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623921954776,1623921965915
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623921965920,1623921976249
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623921976264,1623921978905
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623921978913,1623921982632
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623921982639,1623921986630
