event,node,start,end
form start,,1623916317662,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623916317664,1623916322379
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623916322393,1623916324736
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623916324754,1623916334713
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623916334727,1623916338398
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623916338412,1623916407085
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623916407102,1623916409838
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623916409857,1623916413054
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623916413070,1623916416718
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623916416735,1623916418807
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623916418821,1623916422075
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623916422093,1623916473313
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623916473330,1623916509070
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623916509092,1623916512497
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623916512508,1623916517174
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623916517193,1623916587101
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623916587137,1623916590896
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623916590911,1623916597101
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623916597119,1623916603139
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623916603159,1623916686868
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623916686908,1623916771519
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623916771578,1623916843047
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623916843121,1623916844890
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623916844898,1623916858395
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623916858411,1623916892911
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623916892928,1623916900109
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623916900121,1623916904788
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623916904799,1623916913202
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623916913223,1623916922023
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623916922041,1623916924423
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623916924440,1623916931513
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623916931529,1623916939928
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623916939942,1623916948749
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623916948763,1623916961885
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/type_of_pss,1623916961900,1623916969390
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623916969404,1623916973799
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623916973817,1623917010054
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623917010076,1623917017471
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623917017490,1623917021297
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623917021311,1623917026254
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623917026271,1623917030824
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623917030837,1623917038528
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623917038543,1623917042381
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623917042400,1623917052091
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623917052105,1623917056013
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623917056025,1623917061728
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623917061741,1623917084868
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623917084909,1623917092294
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623917092308,1623917099732
