event,node,start,end
form start,,1623754855156,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623754855158,1623754862248
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623754862255,1623754869357
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623754869363,1623754915166
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623754915174,1623754923851
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623754923866,1623754950609
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623754950618,1623754957265
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623754957273,1623754966392
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623754966402,1623754970573
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623754970581,1623754973486
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623754973494,1623754977003
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623754977008,1623754980614
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623754980619,1623755003849
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623755003855,1623755007806
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623755007812,1623755011723
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623755011730,1623755013895
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623755013902,1623755016639
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623755016645,1623755029771
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623755029780,1623755032497
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623755032507,1623755033762
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623755033767,1623755035400
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623755035407,1623755042523
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623755042530,1623755046397
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623755046403,1623755611614
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623755611646,1623755643114
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623755643120,1623755646892
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623755646900,1623755650238
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623755650244,1623755653789
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623755653795,1623755657685
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623755657690,1623755660885
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623755660899,1623755688580
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623755688614,1623755760108
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623755760131,1623755814616
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623755814646,1623755821178
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623755821183,1623755823018
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623755823025,1623755833235
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623755833244,1623755838058
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623755838065,1623755851383
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623755851392,1623755855455
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623755855461,1623755880221
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623755880226,1623755884765
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623755884771,1623755889452
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623755889459,1623755895862
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623755895871,1623755897999
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623755898006,1623755903907
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623755903917,1623755910755
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623755910761,1623755916942
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623755916949,1623755924892
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623755924901,1623755929524
