event,node,start,end
form start,,1623917708891,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623917708892,1623917712230
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623917712249,1623917713842
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623917713857,1623917717897
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623917717915,1623917720703
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623917720725,1623917739703
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623917739721,1623917741207
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623917741227,1623917742879
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623917742895,1623917745614
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623917745630,1623918060305
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623918060316,1623918064701
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623918064716,1623918070216
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623918070226,1623918071544
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623918071555,1623918073361
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623918073374,1623918077500
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623918077512,1623918091456
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623918091509,1623918092379
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623918092394,1623918095067
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623918095075,1623918101555
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623918101565,1623918113390
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623918113449,1623918134533
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623918134577,1623918154235
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623918154291,1623918155136
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623918155153,1623918176255
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623918176274,1623918177713
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623918177728,1623918179042
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623918179061,1623918185136
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623918185150,1623918194259
