event,node,start,end
form start,,1620217467294,
question,/aN9yvTNAZJuRBVufebBoSY/enumerator_num,1620217467295,1620217469268
question,/aN9yvTNAZJuRBVufebBoSY/dc_method,1620217469285,1620217470927
question,/aN9yvTNAZJuRBVufebBoSY/location,1620217470944,1620217474873
question,/aN9yvTNAZJuRBVufebBoSY/camp,1620217474888,1620217476956
question,/aN9yvTNAZJuRBVufebBoSY/consent,1620217476972,1620217478871
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/hhh_r,1620217478884,1620217481774
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/age_respondent_r,1620217481786,1620217486874
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/gender_respondent_r,1620217486889,1620217488990
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/hh_location,1620217489005,1620217492591
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/refugee_status,1620217492606,1620217494297
group questions,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/household_size,1620217494313,1620217527488
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/calc_note,1620217527543,1620217529340
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/preg_lactating,1620217529357,1620217532456
question,/aN9yvTNAZJuRBVufebBoSY/hh_characteristics/chronic_illness,1620217532468,1620217535019
question,/aN9yvTNAZJuRBVufebBoSY/food_security/Food_security_start,1620217535030,1620217537426
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/food_consumption,1620217537440,1620217559712
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/food_insecurity,1620217559778,1620217572069
group questions,/aN9yvTNAZJuRBVufebBoSY/food_security/lack_of_food_mitigation,1620217572106,1620217612820
question,/aN9yvTNAZJuRBVufebBoSY/health_group/health_start,1620217612873,1620217613820
question,/aN9yvTNAZJuRBVufebBoSY/health_group/distance_hospital,1620217613830,1620217615946
question,/aN9yvTNAZJuRBVufebBoSY/health_group/health_accessed,1620217615956,1620217616786
question,/aN9yvTNAZJuRBVufebBoSY/health_group/distance_hospital,1620217616797,1620217618218
question,/aN9yvTNAZJuRBVufebBoSY/health_group/health_accessed,1620217618229,1620217621832
question,/aN9yvTNAZJuRBVufebBoSY/health_group/treatment_required,1620217621845,1620217624548
question,/aN9yvTNAZJuRBVufebBoSY/health_group/difficulty_accessing_treatment,1620217624561,1620217627222
question,/aN9yvTNAZJuRBVufebBoSY/health_group/health_barriers,1620217627236,1620217638238
question,/aN9yvTNAZJuRBVufebBoSY/health_group/covid_19_vaccination,1620217638249,1620217642642
group questions,/aN9yvTNAZJuRBVufebBoSY/health_group/disabilities,1620217642652,1620217643920
