event,node,start,end
form start,,1623919784596,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623919784598,1623919819262
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623919819277,1623919821154
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623919821169,1623919829020
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623919829033,1623919831069
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623919831086,1623919844373
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623919844384,1623919846638
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623919846652,1623919876293
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623919876310,1623919880872
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623919880885,1623919882494
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623919882504,1623919884580
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623919884591,1623919891155
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623919891172,1623919893387
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623919893397,1623919896348
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623919896364,1623919898542
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623919898557,1623919901143
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623919901161,1623919903804
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623919903819,1623919909839
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623919909861,1623919953728
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623919953766,1623919954902
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623919954919,1623919957371
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623919957388,1623919966811
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623919966827,1623920085349
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623920085393,1623920097051
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623920097103,1623920135033
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623920135108,1623920136263
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623920136279,1623920144848
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623920144862,1623920165201
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623920165218,1623920189639
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623920189657,1623920193055
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623920193067,1623920198426
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623920198446,1623920215940
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623920215961,1623920217280
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623920217298,1623920220111
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623920220125,1623920252557
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/type_of_pss,1623920252572,1623920271918
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623920271930,1623920280792
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623920280812,1623920281927
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623920281944,1623920329518
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623920329535,1623920360641
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623920360655,1623920362838
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623920362852,1623920364965
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623920364977,1623920374112
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623920374129,1623920376951
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623920376971,1623920379514
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623920379531,1623920387328
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623920387368,1623920390602
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623920390619,1623920399573
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623920399590,1623920403194
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623920403204,1623920404416
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623920404431,1623920406272
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623920406289,1623920427101
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623920427127,1623920431221
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623920431233,1623920433622
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623920433636,1623920460015
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/non_palestinian_threats,1623920460032,1623920470331
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623920470350,1623920471670
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623920471689,1623920481244
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623920481265,1623920501706
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623920501727,1623920513738
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623920513757,1623920516468
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623920516488,1623920563671
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623920563686,1623920571321
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623920571337,1623920579261
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623920579274,1623920588556
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623920588567,1623920589953
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623920589989,1623920591355
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623920591370,1623920592790
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623920592799,1623920594063
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623920594081,1623920595923
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623920595939,1623920597103
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623920597123,1623920598647
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623920598662,1623920600058
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623920600073,1623920651333
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/working_adults,1623920651354,1623920655906
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/unemployed_adults,1623920655922,1623920658632
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/covid_employment,1623920658648,1623920660895
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/primary_livelihood,1623920660907,1623920663390
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/essential_needs,1623920663406,1623920672584
question,/ahLxPkShSJwCFf2hsNoEbs/protection/income_earner,1623920672645,1623920682954
question,/ahLxPkShSJwCFf2hsNoEbs/protection/decision_maker,1623920682970,1623920697798
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_start,1623920697813,1623920701087
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/feel_unsafe,1623920701103,1623920713846
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/unsafe_locations,1623920713867,1623920726189
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/feel_unsafe,1623920726209,1623920728261
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_girls,1623920728275,1623920747601
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/feel_unsafe,1623920747617,1623920771278
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_girls,1623920771294,1623920781414
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_boys,1623920781431,1623920784686
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_women,1623920784701,1623920790065
question,/ahLxPkShSJwCFf2hsNoEbs/protection/demolition_order,1623920790076,1623920798281
question,/ahLxPkShSJwCFf2hsNoEbs/protection/encounter_explosives,1623920798290,1623920802926
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aap_start,1623920802942,1623920804058
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_received,1623920804070,1623920815994
question,/ahLxPkShSJwCFf2hsNoEbs/contact,1623920816009,1623920818413
question,/ahLxPkShSJwCFf2hsNoEbs/contact_name,1623920818426,1623920830408
question,/ahLxPkShSJwCFf2hsNoEbs/contact_number,1623920830420,1623920876510
question,/ahLxPkShSJwCFf2hsNoEbs/m_f_survey,1623920876523,1623920889260
question,/ahLxPkShSJwCFf2hsNoEbs/thanks,1623920889272,1623920964996
question,/ahLxPkShSJwCFf2hsNoEbs/gpslocation,1623920965012,1623920969429
end screen,,1623920969445,1623920981246
question,/ahLxPkShSJwCFf2hsNoEbs/gpslocation,1623920981247,1623920983535
end screen,,1623920983549,1623920985380
form save,,1623920985788,
form exit,,1623920985788,
form finalize,,1623920985788,
