event,node,start,end
form start,,1623830119195,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623830119198,1623830125344
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623830125349,1623830129581
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623830129586,1623830137287
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623830137294,1623830152170
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623830152179,1623830188554
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623830188559,1623830192175
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623830192181,1623830194911
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623830194919,1623830197459
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623830197466,1623830200726
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623830200735,1623830204408
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623830204414,1623830207545
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623830207552,1623830212192
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623830212201,1623830214548
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623830214554,1623830248907
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623830248931,1623830250919
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623830250925,1623830255165
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623830255174,1623830268824
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623830268830,1623830283128
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623830283135,1623830313116
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623830313122,1623830323036
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623830323043,1623830553761
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623830553787,1623830723804
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623830723828,1623830892411
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623830892441,1623830947155
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food_freq,1623830947161,1623830953629
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623830953639,1623830971424
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food_freq,1623830971432,1623830974078
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623830974085,1623830975626
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623830975634,1623830995648
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623830995657,1623831011980
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623831011987,1623831026457
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623831026463,1623831064625
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_barriers,1623831064632,1623831079136
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623831079144,1623831084039
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623831084044,1623831104150
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623831104158,1623831107920
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623831107927,1623831120715
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623831120721,1623831146450
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623831146456,1623831158416
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623831158423,1623831174730
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623831174744,1623831179458
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623831179465,1623831185431
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623831185440,1623831215515
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623831215525,1623831230171
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623831230176,1623831231594
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623831231602,1623831239789
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623831239795,1623831250671
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623831250677,1623831261866
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_source_other,1623831261873,1623831263832
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623831263837,1623831269296
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623831269303,1623831284738
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623831284746,1623831287347
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623831287354,1623831310640
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623831310646,1623831346581
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623831346587,1623831354057
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623831354064,1623831368242
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623831368261,1623831372186
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623831372194,1623831385902
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623831385909,1623831394130
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623831394137,1623831395839
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623831395846,1623831401139
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623831401144,1623831418497
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623831418522,1623831444920
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623831444925,1623831447685
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623831447692,1623831481831
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623831481838,1623831483299
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623831483306,1623831509483
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623831509489,1623831525235
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623831525241,1623831537004
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623831537010,1623831538370
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623831538377,1623831585308
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623831585315,1623831601118
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_conflict,1623831601125,1623831605855
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623831605861,1623831631376
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/reasons_for_debt,1623831631385,1623831638499
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/debt_due_to_covid,1623831638507,1623831648901
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623831648907,1623831671131
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623831671136,1623831806905
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623831806922,1623831809418
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623831809423,1623831823659
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/working_adults,1623831823673,1623831829589
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/unemployed_adults,1623831829596,1623831843269
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/barriers_to_employment,1623831843275,1623831855602
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/unemployed_adults,1623831855610,1623831861091
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/covid_employment,1623831861096,1623831875013
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/primary_livelihood,1623831875021,1623831881782
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/essential_needs,1623831881788,1623831946323
question,/ahLxPkShSJwCFf2hsNoEbs/protection/income_earner,1623831946342,1623831955473
question,/ahLxPkShSJwCFf2hsNoEbs/protection/decision_maker,1623831955478,1623831959327
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_start,1623831959334,1623831961335
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/feel_unsafe,1623831961342,1623831976387
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/unsafe_locations,1623831976395,1623832021356
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/unsafe_locations_why,1623832021363,1623832027667
