event,node,start,end
form start,,1623977825226,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623977825227,1623977830825
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623977830840,1623977833138
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623977833157,1623977843618
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623977843638,1623977847642
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623977847656,1623977878651
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623977878668,1623977886725
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623977886749,1623977889130
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623977889147,1623977892071
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623977892089,1623977894873
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623977894883,1623977897680
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623977897698,1623977900636
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623977900653,1623977903637
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623977903650,1623977908813
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623977908829,1623977911288
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623977911306,1623977913754
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623977913770,1623977917967
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623977917988,1623977920503
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623977920522,1623977974992
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623977975032,1623977976406
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623977976426,1623977979215
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623977979230,1623977991487
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623977991510,1623978030647
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623978030682,1623978088057
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623978088114,1623978148639
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623978148724,1623978150342
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623978150360,1623978156270
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623978156288,1623978163068
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623978163091,1623978169666
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623978169682,1623978173789
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623978173806,1623978191609
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623978191627,1623978194451
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623978194467,1623978205777
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623978205795,1623978210883
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623978210899,1623978217184
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623978217202,1623978225434
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623978225452,1623978229586
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623978229600,1623978232024
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623978232038,1623978233273
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623978233293,1623978235602
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623978235616,1623978241477
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623978241492,1623978245026
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623978245042,1623978247167
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623978247184,1623978248805
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623978248826,1623978251296
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623978251311,1623978259887
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623978259909,1623978265217
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623978265235,1623978271263
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623978271282,1623978280295
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623978280330,1623978283141
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623978283155,1623978286016
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623978286034,1623978290336
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623978290350,1623978292815
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623978292835,1623978304516
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623978304535,1623978317967
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623978318011,1623978322468
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623978322482,1623978325117
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623978325133,1623978328581
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/non_palestinian_threats,1623978328591,1623978331367
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623978331384,1623978332607
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623978332631,1623978337444
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623978337474,1623978340694
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623978340709,1623978344609
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623978344629,1623978348860
