event,node,start,end
form start,,1623843385492,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623843385493,1623843389283
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623843389303,1623843391460
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623843391475,1623843403742
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623843403763,1623843405901
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623843405922,1623843413800
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623843413815,1623843416394
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623843416413,1623843418975
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623843418983,1623843420741
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623843420757,1623843429624
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623843429646,1623843432337
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623843432352,1623843433956
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623843433975,1623843435645
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623843435662,1623843437114
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623843437134,1623843439823
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623843439837,1623843440681
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623843440700,1623843444452
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623843444471,1623843483222
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623843483233,1623843503446
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623843503470,1623843510738
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623843510761,1623843516861
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623843516875,1623843522316
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623843522324,1623843525269
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623843525285,1623843528435
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623843528453,1623843530569
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623843530586,1623843535823
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623843535842,1623843633216
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623843633265,1623843645927
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623843645945,1623843649084
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623843649104,1623843659982
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623843659994,1623843795720
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623843795776,1623843928102
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623843928149,1623844027615
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623844027679,1623844032329
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623844032347,1623844047805
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623844047819,1623844063819
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623844063837,1623844092941
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623844092953,1623844094159
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623844094181,1623844096812
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623844096834,1623844120405
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623844120420,1623844121284
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623844121304,1623844140226
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623844140238,1623844141140
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623844141159,1623844160928
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623844160951,1623844162339
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623844162359,1623844183562
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623844183581,1623844203598
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623844203611,1623844212311
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623844212325,1623844236976
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623844236994,1623844251811
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623844251831,1623844258776
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623844258796,1623844274553
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623844274569,1623844285767
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623844285780,1623844306059
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623844306077,1623844307103
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623844307127,1623844308457
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623844308477,1623844315739
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623844315756,1623844323511
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623844323533,1623844326706
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623844326726,1623844338900
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623844338920,1623844355044
