event,node,start,end
form start,,1623924292035,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623924292038,1623924295439
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623924295446,1623924298161
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623924298168,1623924315806
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623924315813,1623924318951
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623924318959,1623924330887
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623924330892,1623924333299
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623924333304,1623924335438
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623924335444,1623924337575
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623924337580,1623924351306
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623924351311,1623924356185
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623924356193,1623924363938
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623924363946,1623924367390
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623924367396,1623924369016
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623924369022,1623924374206
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623924374212,1623924376476
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623924376482,1623924477026
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623924477068,1623924481241
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623924481248,1623924483854
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623924483862,1623924492900
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623924492906,1623924504924
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623924504929,1623924507355
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623924507360,1623924512088
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623924512094,1623924609294
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623924609321,1623924721785
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623924721812,1623924806724
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623924806754,1623924817859
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623924817864,1623924819191
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623924819197,1623924833132
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623924833144,1623924842039
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623924842052,1623924857105
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623924857111,1623924861379
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623924861385,1623924873531
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623924873538,1623924892708
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623924892714,1623924909569
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623924909576,1623924925009
