event,node,start,end
form start,,1623921286614,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623921286616,1623921294029
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623921294036,1623921296304
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623921296309,1623921300432
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623921300440,1623921303673
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623921303681,1623921325985
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623921325992,1623921327909
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623921327914,1623921330748
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623921330754,1623921351821
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623921351826,1623921372198
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623921372205,1623921377084
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623921377091,1623921379238
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623921379248,1623921383304
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623921383309,1623921385250
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623921385254,1623921388089
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623921388095,1623921390999
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623921391005,1623921395435
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623921395447,1623921545499
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623921545549,1623921547115
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623921547120,1623921552618
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623921552626,1623921592636
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623921592641,1623921596909
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623921596916,1623921599923
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623921599932,1623921606165
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623921606175,1623921704803
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623921704844,1623921806420
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623921806444,1623921905921
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623921905950,1623921915985
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623921915991,1623921917367
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623921917373,1623921928265
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623921928273,1623921940390
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623921940396,1623921975499
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623921975505,1623921998906
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623921998912,1623922023838
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623922023845,1623922028096
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623922028103,1623922069471
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623922069477,1623922133262
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623922133271,1623922134585
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623922134592,1623922148972
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623922148978,1623922166861
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/type_of_pss,1623922166870,1623922183334
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623922183347,1623922208703
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623922208712,1623922210469
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623922210476,1623922216637
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623922216646,1623922227796
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623922227802,1623922235874
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623922235881,1623922241955
