event,node,start,end
form start,,1623828769726,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623828769729,1623828803750
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623828803767,1623828810128
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623828810143,1623828839153
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623828839168,1623828847280
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623828847297,1623828869092
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623828869107,1623828900934
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623828900945,1623828907652
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623828907668,1623828909779
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623828909795,1623828913060
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623828913076,1623828916590
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623828916607,1623828919434
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623828919442,1623828923844
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623828923854,1623828928855
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623828928871,1623828933206
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623828933221,1623828940317
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623828940332,1623828942471
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623828942488,1623828946820
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623828946833,1623828950557
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623828950571,1623828956874
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623828956888,1623828992705
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623828992739,1623828994430
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623828994450,1623828997657
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623828997670,1623829020099
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623829020108,1623829258358
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623829258401,1623829331470
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623829331529,1623829459726
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623829459798,1623829461511
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623829461519,1623829477653
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623829477670,1623829494021
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623829494036,1623829550306
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623829550324,1623829606068
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623829606084,1623829614028
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623829614044,1623829630793
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623829630809,1623829646431
