event,node,start,end
form start,,1623965268449,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623965268450,1623965273331
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623965273343,1623965275820
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623965275832,1623965283166
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623965283180,1623965285881
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623965285896,1623965293683
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623965293700,1623965295804
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623965295821,1623965297750
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623965297770,1623965300056
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623965300071,1623965304619
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623965304631,1623965307965
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623965307978,1623965405098
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623965405115,1623965406974
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623965406993,1623965409292
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623965409302,1623965411599
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623965411617,1623965501677
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623965501716,1623965503159
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623965503177,1623965508689
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623965508706,1623965514895
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623965514917,1623965572445
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623965572492,1623965595273
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623965595328,1623965651175
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623965651247,1623965653213
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623965653235,1623965666783
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623965666798,1623965682241
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623965682257,1623965696375
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623965696393,1623965700101
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623965700118,1623965708061
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623965708079,1623965721719
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623965721736,1623965723006
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623965723024,1623965726966
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623965726982,1623965730426
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623965730446,1623965737669
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623965737685,1623965739950
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623965739969,1623965742498
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623965742512,1623965746586
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623965746598,1623965749136
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623965749159,1623965751444
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623965751459,1623965756316
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623965756334,1623965759828
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623965759844,1623965766708
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623965766730,1623965774280
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623965774320,1623965777037
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623965777049,1623965780552
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623965780573,1623965789932
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623965789950,1623965791671
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623965791688,1623965798749
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623965798762,1623965820853
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623965820879,1623965823711
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623965823731,1623965826341
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623965826356,1623965829716
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/non_palestinian_threats,1623965829731,1623965839435
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623965839452,1623965840713
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623965840732,1623965890316
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623965890379,1623965900496
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623965900514,1623965910196
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623965910215,1623965939876
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623965939895,1623965951677
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623965951699,1623965953573
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623965953592,1623965961438
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623965961456,1623965962790
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623965962808,1623965977572
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623965977589,1623965985940
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623965985958,1623965995447
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623965995461,1623966013500
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623966013516,1623966087899
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/working_adults,1623966087928,1623966105273
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/unemployed_adults,1623966105289,1623966109048
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/under_18_working,1623966109063,1623966112231
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/covid_employment,1623966112248,1623966123292
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/primary_livelihood,1623966123320,1623966126726
