event,node,start,end
form start,,1623921926496,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623921926499,1623921929953
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623921929963,1623921932270
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623921932276,1623921943640
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623921943648,1623921945578
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623921945583,1623921963809
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623921963817,1623921966641
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623921966647,1623921971562
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623921971568,1623921974408
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623921974416,1623921983093
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623921983100,1623922025923
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623922025931,1623922028005
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623922028011,1623922031410
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623922031416,1623922035412
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623922035418,1623922162285
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623922162318,1623922165129
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623922165136,1623922168442
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623922168448,1623922177243
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623922177250,1623922184160
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623922184168,1623922188496
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623922188502,1623922191481
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623922191493,1623922261465
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623922261505,1623922345280
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623922345306,1623922406577
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623922406619,1623922408985
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623922408992,1623922410264
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623922410271,1623922415900
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623922415906,1623922430837
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623922430844,1623922434769
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623922434777,1623922438816
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623922438822,1623922455355
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623922455364,1623922459400
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623922459407,1623922488065
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623922488074,1623922491686
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623922491693,1623922495199
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623922495206,1623922534839
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623922534845,1623922550780
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/type_of_pss,1623922550785,1623922558612
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623922558621,1623922584547
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623922584553,1623922586064
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623922586070,1623922648537
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623922648543,1623922651613
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623922651619,1623922656285
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623922656292,1623922659011
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623922659020,1623922666805
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623922666813,1623922671235
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623922671243,1623922674672
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623922674684,1623922677823
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623922677834,1623922686111
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623922686133,1623922688624
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623922688630,1623922696930
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623922696936,1623922701444
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623922701457,1623922702749
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623922702754,1623922707007
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623922707013,1623922719637
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623922719651,1623922722837
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623922722843,1623922733651
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623922733656,1623922742655
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623922742661,1623922747799
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623922747805,1623922749547
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623922749556,1623922751259
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction_reason,1623922751265,1623922759351
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623922759363,1623922775699
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623922775706,1623922776994
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623922777000,1623922785716
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623922785727,1623922795209
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623922795215,1623922801340
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/planning_school_enrollment,1623922801348,1623922806628
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623922806636,1623922809997
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623922810004,1623922812906
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623922812911,1623922815436
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623922815443,1623922830297
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623922830306,1623922831446
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623922831455,1623922864442
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623922864449,1623922869576
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_conflict,1623922869582,1623922873716
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623922873726,1623922919002
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/reasons_for_debt,1623922919009,1623922926507
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/debt_due_to_covid,1623922926513,1623922929354
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/reasons_for_debt,1623922929360,1623922938580
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/debt_due_to_covid,1623922938586,1623922943174
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623922943181,1623922950058
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623922950067,1623922984342
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/working_adults,1623922984364,1623922990140
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/unemployed_adults,1623922990148,1623922994488
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/under_18_working,1623922994495,1623923000813
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/covid_employment,1623923000821,1623923018574
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/primary_livelihood,1623923018590,1623923027114
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/primary_livelihood_other,1623923027122,1623923038024
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/essential_needs,1623923038030,1623923060637
question,/ahLxPkShSJwCFf2hsNoEbs/protection/income_earner,1623923060654,1623923064347
question,/ahLxPkShSJwCFf2hsNoEbs/protection/decision_maker,1623923064352,1623923069197
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_start,1623923069206,1623923070513
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/feel_unsafe,1623923070519,1623923086241
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/unsafe_locations,1623923086247,1623923120737
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/unsafe_locations_why,1623923120743,1623923148558
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_girls,1623923148564,1623923163294
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_boys,1623923163304,1623923180430
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_women,1623923180438,1623923189982
question,/ahLxPkShSJwCFf2hsNoEbs/protection/building_damage,1623923189988,1623923197306
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aap_start,1623923197312,1623923198618
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_received,1623923198627,1623923203731
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/barriers_to_aid,1623923203738,1623923224539
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_preferred,1623923224546,1623923239694
question,/ahLxPkShSJwCFf2hsNoEbs/contact,1623923239702,1623923240883
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_preferred,1623923240890,1623923243867
question,/ahLxPkShSJwCFf2hsNoEbs/contact,1623923243875,1623923246629
question,/ahLxPkShSJwCFf2hsNoEbs/contact_name,1623923246636,1623923256187
question,/ahLxPkShSJwCFf2hsNoEbs/contact_number,1623923256195,1623923270094
question,/ahLxPkShSJwCFf2hsNoEbs/m_f_survey,1623923270103,1623923274056
question,/ahLxPkShSJwCFf2hsNoEbs/thanks,1623923274062,1623923275198
end screen,,1623923275204,1623923295426
form save,,1623923296573,
form exit,,1623923296573,
form finalize,,1623923296573,
form resume,,1623928140818,
jump,,1623928140818,1623928143129
end screen,,1623928143150,1623928144380
form save,,1623928145340,
form exit,,1623928145340,
form finalize,,1623928145340,
