event,node,start,end
form start,,1622715801109,
question,/a65UJQzWW8gQKbK5SyoXnE/enumerator_num,1622715801111,1622715807327
question,/a65UJQzWW8gQKbK5SyoXnE/sample_id,1622715807338,1622715811118
question,/a65UJQzWW8gQKbK5SyoXnE/dc_method,1622715811130,1622715813630
question,/a65UJQzWW8gQKbK5SyoXnE/location,1622715813644,1622715814800
question,/a65UJQzWW8gQKbK5SyoXnE/camp,1622715814814,1622715815920
question,/a65UJQzWW8gQKbK5SyoXnE/consent,1622715815934,1622715817734
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/hhh_r,1622715817748,1622715818912
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/age_respondent_r,1622715818928,1622715820747
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/gender_respondent_r,1622715820762,1622715822091
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/age_respondent_r,1622715822110,1622715822738
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/gender_respondent_r,1622715822748,1622715824412
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/hh_location_wb,1622715824430,1622715827738
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/refugee_status,1622715827756,1622715830037
group questions,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/household_size,1622715830049,1622715842080
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/calc_note,1622715842155,1622715843311
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/preg_lactating,1622715843327,1622715845714
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/chronic_illness,1622715845726,1622715847788
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/food_consumption,1622715847809,1622715869644
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/food_insecurity,1622715869778,1622715885210
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/lack_of_food_mitigation,1622715885312,1622715901716
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/health_start,1622715901822,1622715902675
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/distance_hospital,1622715902690,1622715906972
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/health_accessed,1622715906991,1622715908817
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/vaccine,1622715908830,1622715909994
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/vaccine_why_not,1622715910009,1622715912200
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/presence_disability,1622715912213,1622715914533
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/calc_tot_cwd_note,1622715914547,1622715915542
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/hh_member_distress,1622715915562,1622715917672
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/psychosocial_services,1622715917690,1622715919538
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/women_specialised_services,1622715919550,1622715921841
question,/a65UJQzWW8gQKbK5SyoXnE/wash/wash_start,1622715921856,1622715922717
question,/a65UJQzWW8gQKbK5SyoXnE/wash/drinking_water_source,1622715922732,1622715925960
question,/a65UJQzWW8gQKbK5SyoXnE/wash/domestic_water_source,1622715925972,1622715927185
question,/a65UJQzWW8gQKbK5SyoXnE/wash/latrines,1622715927198,1622715931075
question,/a65UJQzWW8gQKbK5SyoXnE/wash/shared_sanitation,1622715931089,1622715932745
question,/a65UJQzWW8gQKbK5SyoXnE/wash/latrine_items,1622715932760,1622715937792
