event,node,start,end
form start,,1623836215779,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623836215782,1623836223775
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623836223797,1623836227887
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623836227904,1623836241403
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623836241421,1623836271509
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623836271530,1623836280707
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623836280722,1623836290684
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623836290698,1623836326245
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623836326258,1623836329594
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623836329611,1623836331958
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623836331978,1623836338915
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623836338931,1623836341721
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623836341733,1623836348667
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623836348689,1623836392164
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623836392180,1623836395554
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623836395572,1623836399432
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623836399448,1623836407240
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623836407256,1623836521571
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623836521609,1623836523575
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623836523595,1623836525191
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623836525209,1623836530927
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623836530943,1623836536432
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623836536449,1623836598690
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623836598708,1623836782333
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623836782369,1623836935954
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623836936015,1623837104451
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623837104526,1623837106449
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623837106469,1623837141102
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623837141118,1623837158574
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623837158591,1623837172320
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623837172333,1623837177132
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623837177152,1623837208366
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623837208383,1623837221953
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623837221968,1623837238107
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623837238124,1623837382088
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623837382106,1623837385199
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623837385216,1623837407069
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623837407081,1623837418443
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623837418460,1623837433847
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623837433865,1623837440507
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623837440526,1623837447725
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623837447746,1623837450423
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623837450442,1623837457322
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623837457334,1623837462241
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623837462260,1623837472988
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623837473006,1623837484003
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623837484027,1623837493662
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623837493677,1623837511789
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623837511810,1623837519318
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623837519332,1623837543313
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623837543354,1623837561695
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623837561709,1623837567181
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623837567194,1623837588592
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623837588604,1623837591010
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623837591027,1623837596055
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623837596072,1623837613523
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623837613553,1623837644225
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623837644245,1623837648707
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623837648724,1623837663127
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623837663143,1623837668767
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623837668786,1623837672336
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/non_palestinian_threats,1623837672355,1623837699782
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623837699799,1623837701533
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623837701548,1623837711612
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623837711631,1623837743284
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623837743298,1623837748140
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623837748159,1623837756928
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623837756946,1623837783752
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623837783765,1623837790934
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623837790953,1623837794708
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623837794727,1623837798430
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623837798450,1623837919235
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623837919253,1623837924884
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623837924899,1623837956391
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/reasons_for_debt,1623837956408,1623838041468
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/debt_due_to_covid,1623838041483,1623838054854
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623838054874,1623838065920
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623838065934,1623838287844
