event,node,start,end
form start,,1623927467357,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623927467360,1623927472903
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623927472912,1623927475207
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623927475212,1623927481501
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623927481508,1623927484076
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623927484081,1623927490652
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623927490660,1623927493040
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623927493045,1623927495534
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623927495540,1623927499292
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623927499297,1623927502728
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623927502735,1623927507145
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623927507150,1623927518034
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623927518042,1623927521342
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623927521349,1623927524777
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623927524782,1623927583006
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623927583049,1623927587281
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623927587287,1623927595625
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623927595632,1623927637612
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623927637626,1623927638960
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623927638968,1623927640780
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623927640787,1623927645298
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623927645307,1623927653294
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623927653300,1623927655341
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623927655347,1623927658009
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623927658016,1623927662484
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623927662490,1623927665979
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623927665989,1623927668766
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623927668773,1623927758410
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623927758432,1623927860856
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623927860879,1623927864894
