event,node,start,end
form start,,1623831564556,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623831564560,1623831573449
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623831573468,1623831595345
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623831595356,1623831779369
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623831779387,1623831786274
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623831786292,1623831827733
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623831827747,1623831833187
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623831833203,1623831855457
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623831855476,1623831867910
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623831867929,1623831870443
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623831870457,1623831875666
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623831875687,1623831923359
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623831923376,1623831927732
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623831927752,1623831930898
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623831930917,1623831937629
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623831937652,1623832023494
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623832023534,1623832025666
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623832025685,1623832034797
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623832034840,1623832055848
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623832055863,1623832065302
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623832065322,1623832078141
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623832078155,1623832188130
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623832188176,1623832330030
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623832330086,1623832473434
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623832473508,1623832476886
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623832476904,1623832496429
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623832496447,1623832517098
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623832517117,1623832534152
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623832534172,1623832535809
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623832535827,1623832539030
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623832539049,1623832567199
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623832567215,1623832593630
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623832593650,1623832608768
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623832608785,1623832645910
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623832645931,1623832669537
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623832669555,1623832672441
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623832672456,1623832690809
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623832690826,1623832701000
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623832701018,1623832708598
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623832708615,1623832730328
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623832730347,1623832751457
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623832751473,1623832753842
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623832753861,1623832770089
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623832770106,1623832775098
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623832775111,1623832933944
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623832933966,1623832942518
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623832942534,1623832963382
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623832963400,1623832969330
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623832969351,1623832989698
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623832989714,1623833047300
question,/ahLxPkShSJwCFf2hsNoEbs/wash/water_coping_mechanism,1623833047346,1623833087239
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623833087256,1623833121700
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623833121716,1623833134862
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623833134880,1623833148201
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623833148221,1623833152228
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623833152244,1623833159100
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623833159113,1623833196494
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623833196524,1623833200961
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623833200974,1623833220179
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623833220195,1623833228480
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/non_palestinian_threats,1623833228499,1623833247044
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/non_palestinian_threats_type,1623833247065,1623833304970
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/coping_mechanism_threats,1623833304987,1623833330241
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/non_palestinian_threats_type,1623833330253,1623833331606
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/non_palestinian_threats,1623833331623,1623833335411
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623833335429,1623833337904
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623833337921,1623833361452
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623833361476,1623833367912
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623833367928,1623833379750
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623833379766,1623833391190
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623833391206,1623833405211
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623833405228,1623833415505
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623833415522,1623833429071
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623833429089,1623833431967
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623833431986,1623833453064
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623833453078,1623833458203
