event,node,start,end
form start,,1623832755454,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623832755456,1623833342647
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623833342660,1623833345564
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623833345577,1623833357598
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623833357613,1623833360806
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623833360820,1623833369789
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623833369804,1623833372184
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623833372193,1623833376563
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623833376578,1623833379152
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623833379167,1623833381755
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623833381765,1623833386574
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623833386590,1623833391095
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623833391107,1623833393083
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623833393101,1623833396557
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623833396572,1623833401596
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623833401606,1623833450819
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623833450854,1623833452362
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623833452375,1623833457768
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623833457785,1623833468811
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623833468829,1623833661953
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623833661990,1623833691905
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623833691960,1623833750527
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623833750593,1623833752091
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623833752108,1623833761270
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623833761286,1623833794937
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623833794956,1623833811454
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required_other,1623833811469,1623833822346
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623833822359,1623833832025
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623833832040,1623833844364
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623833844381,1623833858360
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623833858376,1623833868900
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623833868917,1623833919235
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623833919250,1623833920657
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623833920674,1623833931869
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623833931882,1623833952628
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/type_of_pss,1623833952646,1623833954864
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623833954875,1623833983669
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623833983689,1623833985232
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623833985245,1623834006779
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623834006796,1623834017862
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623834017878,1623834039413
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623834039428,1623834042037
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623834042052,1623834054987
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623834055007,1623834058531
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623834058552,1623834077823
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623834077839,1623834102569
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623834102608,1623834106431
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623834106440,1623834113883
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623834113900,1623834134533
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623834134546,1623834135890
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623834135905,1623834140859
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623834140873,1623834163238
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623834163262,1623834165968
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623834165985,1623834180690
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623834180705,1623834190399
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/non_palestinian_threats,1623834190414,1623834199488
