event,node,start,end
form start,,1623837637391,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623837637395,1623837641190
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623837641197,1623837643499
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623837643503,1623837647534
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623837647542,1623837650443
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623837650452,1623837660297
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623837660305,1623837662488
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623837662493,1623837669484
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623837669492,1623837672673
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623837672679,1623837674041
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623837674052,1623837678213
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623837678219,1623837684052
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623837684059,1623837691946
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623837691951,1623837694184
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623837694190,1623837697183
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623837697189,1623837701990
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623837701997,1623837781831
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623837781858,1623837783771
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623837783775,1623837793817
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623837793823,1623837800935
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623837800941,1623837808928
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623837808934,1623837813750
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623837813758,1623837818066
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623837818074,1623837896088
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623837896113,1623838010283
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623838010306,1623838098167
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623838098197,1623838106610
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623838106616,1623838108008
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623838108015,1623838129012
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623838129020,1623838150079
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623838150084,1623838189837
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623838189841,1623838201566
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623838201572,1623838249812
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623838249819,1623838292150
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/num_disability,1623838292155,1623838299354
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_sex,1623838299360,1623838301617
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_age,1623838301622,1623838304545
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_walking,1623838304550,1623838312703
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623838312710,1623838314199
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/difficulty_accessing_services,1623838314208,1623838328032
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623838328038,1623838373484
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623838373490,1623838377748
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623838377760,1623838379882
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623838379887,1623838397220
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623838397226,1623838414257
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623838414264,1623838415537
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623838415546,1623838422407
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623838422414,1623838433239
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623838433246,1623838440128
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623838440134,1623838446058
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623838446066,1623838448386
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623838448392,1623838466298
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623838466304,1623838474554
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623838474565,1623838481236
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623838481244,1623838497590
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623838497606,1623838530929
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623838530937,1623838544408
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623838544413,1623838546036
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623838546044,1623838548142
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623838548149,1623838566353
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623838566359,1623838569206
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623838569211,1623838572426
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623838572431,1623838607102
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623838607120,1623838614387
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623838614393,1623838622832
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623838622840,1623838626302
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623838626309,1623838634437
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623838634443,1623838673849
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623838673855,1623838675182
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623838675187,1623838690047
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623838690053,1623838698146
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623838698152,1623838719447
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623838719455,1623838720989
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623838720994,1623838748884
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623838748896,1623838755755
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_conflict,1623838755761,1623838786364
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623838786371,1623838798938
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623838798944,1623838841474
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623838841480,1623838912330
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/working_adults,1623838912345,1623838932127
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/unemployed_adults,1623838932134,1623838949597
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/barriers_to_employment,1623838949606,1623838974969
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/other_employment_barriers,1623838974974,1623838994554
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/covid_employment,1623838994572,1623839064739
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/primary_livelihood,1623839064747,1623839069402
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/essential_needs,1623839069409,1623839113351
question,/ahLxPkShSJwCFf2hsNoEbs/protection/income_earner,1623839113370,1623839118356
question,/ahLxPkShSJwCFf2hsNoEbs/protection/decision_maker,1623839118362,1623839138225
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_start,1623839138234,1623839139803
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/feel_unsafe,1623839139811,1623839154010
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_girls,1623839154016,1623839168723
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_boys,1623839168728,1623839176859
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_women,1623839176866,1623839180155
question,/ahLxPkShSJwCFf2hsNoEbs/protection/building_damage,1623839180161,1623839307769
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aap_start,1623839307775,1623839309432
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_received,1623839309437,1623839336385
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_type,1623839336390,1623839391577
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_satisfaction,1623839391593,1623839410233
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_workers_satisfied,1623839410239,1623839429761
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/barriers_to_aid,1623839429767,1623839457308
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_preferred,1623839457316,1623839467411
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/complaint_mechanisms,1623839467419,1623839479422
question,/ahLxPkShSJwCFf2hsNoEbs/contact,1623839479427,1623839481277
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/complaint_mechanisms,1623839481284,1623839486614
question,/ahLxPkShSJwCFf2hsNoEbs/contact,1623839486620,1623839494326
