event,node,start,end
form start,,1623050703790,
question,/a65UJQzWW8gQKbK5SyoXnE/enumerator_num,1623050703791,1623050709517
question,/a65UJQzWW8gQKbK5SyoXnE/sample_id,1623050709532,1623050711865
question,/a65UJQzWW8gQKbK5SyoXnE/dc_method,1623050711881,1623050714107
question,/a65UJQzWW8gQKbK5SyoXnE/location,1623050714122,1623050716751
question,/a65UJQzWW8gQKbK5SyoXnE/camp,1623050716764,1623050718015
question,/a65UJQzWW8gQKbK5SyoXnE/consent,1623050718031,1623050718789
question,/a65UJQzWW8gQKbK5SyoXnE/camp,1623050718805,1623050719728
question,/a65UJQzWW8gQKbK5SyoXnE/consent,1623050719743,1623050721968
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/hhh_r,1623050721979,1623050723240
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/age_respondent_r,1623050723255,1623050728837
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/gender_respondent_r,1623050728851,1623050736587
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/hh_location_wb,1623050736597,1623050738353
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/refugee_status,1623050738367,1623050743242
group questions,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/household_size,1623050743253,1623050763735
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/calc_note,1623050763815,1623050765007
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/preg_lactating,1623050765025,1623050768599
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/chronic_illness,1623050768614,1623050772279
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/food_consumption,1623050772294,1623050792392
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/food_insecurity,1623050792455,1623050805519
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/lack_of_food_mitigation,1623050805574,1623050825458
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/health_start,1623050825543,1623050826549
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/distance_hospital,1623050826564,1623050828880
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/health_accessed,1623050828895,1623050830394
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/treatment_required,1623050830408,1623050831883
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/difficulty_accessing_treatment,1623050831896,1623050832942
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/vaccine,1623050832958,1623050834767
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/vaccine_why_not,1623050834779,1623050836803
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/presence_disability,1623050836819,1623050840832
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/calc_tot_cwd_note,1623050840848,1623050841955
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/hh_member_distress,1623050841972,1623050843415
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/child_distress_number,1623050843429,1623050844839
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/adult_distress_number,1623050844855,1623050846362
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/psychosocial_services,1623050846377,1623050848334
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/type_of_pss,1623050848351,1623050849158
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/psychosocial_services,1623050849219,1623050849760
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/adult_distress_number,1623050849776,1623050850227
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/child_distress_number,1623050850240,1623050850841
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/hh_member_distress,1623050850853,1623050851496
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/calc_tot_cwd_note,1623050851514,1623050852176
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/presence_disability,1623050852193,1623050855715
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/num_disability,1623050855731,1623050857251
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/disabilities_loop/member[1]/difficulty_sex,1623050857268,1623050858934
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/disabilities_loop/member[1]/difficulty_age,1623050858949,1623050863464
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/disabilities_loop/member[1]/difficulty_walking,1623050863480,1623050865296
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/calc_tot_cwd_note,1623050865311,1623050866773
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/disabilities_loop/member[1]/difficulty_walking,1623050866789,1623050868062
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/calc_tot_cwd_note,1623050868077,1623050869556
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/difficulty_accessing_services,1623050869576,1623050871786
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/calc_tot_cwd_note,1623050871805,1623050874481
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/difficulty_accessing_services,1623050874498,1623050879204
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/calc_tot_cwd_note,1623050879215,1623050879790
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/disabilities_loop/member[1]/difficulty_walking,1623050879810,1623050880767
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/disabilities_loop/member[1]/difficulty_age,1623050880779,1623050883423
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/disabilities_loop/member[1]/difficulty_walking,1623050883438,1623050884268
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/calc_tot_cwd_note,1623050884280,1623050889240
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/difficulty_accessing_services,1623050889255,1623050890186
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/why_difficulty_services,1623050890199,1623050894503
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/hh_member_distress,1623050894521,1623050895455
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/child_distress_number,1623050895468,1623050898296
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/adult_distress_number,1623050898313,1623050899901
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/psychosocial_services,1623050899915,1623050901028
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/type_of_pss,1623050901042,1623050902542
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/women_specialised_services,1623050902559,1623050903280
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/type_of_pss,1623050903297,1623050905721
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/women_specialised_services,1623050905744,1623050907078
question,/a65UJQzWW8gQKbK5SyoXnE/wash/wash_start,1623050907094,1623050908508
question,/a65UJQzWW8gQKbK5SyoXnE/wash/drinking_water_source,1623050908527,1623050910148
question,/a65UJQzWW8gQKbK5SyoXnE/wash/domestic_water_source,1623050910163,1623050913979
question,/a65UJQzWW8gQKbK5SyoXnE/wash/drinking_water_source,1623050913994,1623050916690
question,/a65UJQzWW8gQKbK5SyoXnE/wash/domestic_water_source,1623050916708,1623050918956
question,/a65UJQzWW8gQKbK5SyoXnE/wash/latrines,1623050918976,1623050921545
question,/a65UJQzWW8gQKbK5SyoXnE/wash/shared_sanitation,1623050921561,1623050923604
question,/a65UJQzWW8gQKbK5SyoXnE/wash/latrine_items,1623050923620,1623050926041
question,/a65UJQzWW8gQKbK5SyoXnE/wash/latrines_lockable_inside,1623050926058,1623050928259
question,/a65UJQzWW8gQKbK5SyoXnE/wash/latrine_waste_drainage,1623050928279,1623050933069
group questions,/a65UJQzWW8gQKbK5SyoXnE/wash/water_sufficiency,1623050933088,1623050944649
question,/a65UJQzWW8gQKbK5SyoXnE/wash/num_of_floods,1623050944693,1623050947509
question,/a65UJQzWW8gQKbK5SyoXnE/wash/floods/floods_effects,1623050947524,1623050949454
question,/a65UJQzWW8gQKbK5SyoXnE/wash/floods/floods_shelter_effects,1623050949465,1623050951887
question,/a65UJQzWW8gQKbK5SyoXnE/wash/floods/floods_mitigation_measures,1623050951897,1623050957798
question,/a65UJQzWW8gQKbK5SyoXnE/wash/solid_waste_disposal,1623050957813,1623050959367
question,/a65UJQzWW8gQKbK5SyoXnE/wash/waste_accumulation_days,1623050959380,1623050961278
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/shelter_start,1623050961293,1623050962290
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/shelter_type_inperson,1623050962306,1623050968552
group questions,/a65UJQzWW8gQKbK5SyoXnE/shelter/shelter_description,1623050968567,1623050975632
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/occupancy_status,1623050975677,1623050979453
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/hh_risk_eviction,1623050979469,1623050981855
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/hh_main_risks,1623050981868,1623050986638
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/shelter_issues,1623050986655,1623051001345
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/experienced_threats,1623051001364,1623051003773
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/type_of_threats,1623051003787,1623051005689
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/coping_mechanism_threats,1623051005708,1623051009201
question,/a65UJQzWW8gQKbK5SyoXnE/education/education_start,1623051009221,1623051010103
group questions,/a65UJQzWW8gQKbK5SyoXnE/education/school_enrollment,1623051010120,1623051022915
question,/a65UJQzWW8gQKbK5SyoXnE/education/school_going_children/remote_learning,1623051022953,1623051024612
question,/a65UJQzWW8gQKbK5SyoXnE/education/school_going_children/dropout,1623051024627,1623051027583
question,/a65UJQzWW8gQKbK5SyoXnE/education/school_going_children/drop_out_reason,1623051027598,1623051029578
question,/a65UJQzWW8gQKbK5SyoXnE/education/school_going_children/catch_up_learning,1623051029591,1623051031331
question,/a65UJQzWW8gQKbK5SyoXnE/education/school_pss_services,1623051031346,1623051032703
question,/a65UJQzWW8gQKbK5SyoXnE/education/primary_school_place,1623051032716,1623051033898
question,/a65UJQzWW8gQKbK5SyoXnE/education/secondary_school_place,1623051033917,1623051035057
question,/a65UJQzWW8gQKbK5SyoXnE/education/school_safety,1623051035072,1623051037064
question,/a65UJQzWW8gQKbK5SyoXnE/education/school_safety_concerns,1623051037080,1623051039400
question,/a65UJQzWW8gQKbK5SyoXnE/livelihoods/livelihoods_start,1623051039418,1623051040344
question,/a65UJQzWW8gQKbK5SyoXnE/livelihoods/tot_income,1623051040359,1623051044317
question,/a65UJQzWW8gQKbK5SyoXnE/livelihoods/income_change_covid,1623051044332,1623051045774
question,/a65UJQzWW8gQKbK5SyoXnE/livelihoods/how_much_debt,1623051045796,1623051050084
question,/a65UJQzWW8gQKbK5SyoXnE/livelihoods/reasons_for_debt,1623051050099,1623051051754
question,/a65UJQzWW8gQKbK5SyoXnE/livelihoods/debt_due_to_covid,1623051051767,1623051052416
question,/a65UJQzWW8gQKbK5SyoXnE/livelihoods/reasons_for_debt,1623051052431,1623051056712
question,/a65UJQzWW8gQKbK5SyoXnE/livelihoods/debt_due_to_covid,1623051056725,1623051058770
question,/a65UJQzWW8gQKbK5SyoXnE/livelihoods/tot_expenses,1623051058788,1623051063367
group questions,/a65UJQzWW8gQKbK5SyoXnE/livelihoods/expenses,1623051063380,1623051082348
question,/a65UJQzWW8gQKbK5SyoXnE/livelihoods/working_adults,1623051082378,1623051085484
question,/a65UJQzWW8gQKbK5SyoXnE/livelihoods/unemployed_adults,1623051085498,1623051087925
question,/a65UJQzWW8gQKbK5SyoXnE/livelihoods/barriers_to_employment,1623051087937,1623051088867
question,/a65UJQzWW8gQKbK5SyoXnE/livelihoods/unemployed_adults,1623051088882,1623051089493
question,/a65UJQzWW8gQKbK5SyoXnE/livelihoods/working_adults,1623051089506,1623051091626
question,/a65UJQzWW8gQKbK5SyoXnE/livelihoods/unemployed_adults,1623051091640,1623051092694
question,/a65UJQzWW8gQKbK5SyoXnE/livelihoods/barriers_to_employment,1623051092709,1623051095531
question,/a65UJQzWW8gQKbK5SyoXnE/livelihoods/under_18_working,1623051095546,1623051097982
question,/a65UJQzWW8gQKbK5SyoXnE/livelihoods/under_18_working_boys,1623051097994,1623051099701
question,/a65UJQzWW8gQKbK5SyoXnE/livelihoods/under_18_working_girls,1623051099718,1623051101130
group questions,/a65UJQzWW8gQKbK5SyoXnE/livelihoods/covid_employment,1623051101147,1623051108915
question,/a65UJQzWW8gQKbK5SyoXnE/livelihoods/primary_livelihood,1623051108950,1623051111441
group questions,/a65UJQzWW8gQKbK5SyoXnE/livelihoods/essential_needs,1623051111456,1623051117886
question,/a65UJQzWW8gQKbK5SyoXnE/protection/income_earner,1623051117937,1623051120513
question,/a65UJQzWW8gQKbK5SyoXnE/protection/decision_maker,1623051120530,1623051126749
question,/a65UJQzWW8gQKbK5SyoXnE/protection/security_concerns/security_start,1623051126762,1623051130654
question,/a65UJQzWW8gQKbK5SyoXnE/protection/security_concerns/feel_unsafe,1623051130672,1623051133590
question,/a65UJQzWW8gQKbK5SyoXnE/protection/security_concerns/security_concerns_girls,1623051133606,1623051138065
question,/a65UJQzWW8gQKbK5SyoXnE/protection/security_concerns/security_concerns_boys,1623051138082,1623051143180
question,/a65UJQzWW8gQKbK5SyoXnE/protection/security_concerns/security_concerns_women,1623051143192,1623051149364
question,/a65UJQzWW8gQKbK5SyoXnE/protection/demolition_order,1623051149377,1623051151418
question,/a65UJQzWW8gQKbK5SyoXnE/protection/encounter_explosives,1623051151432,1623051154949
question,/a65UJQzWW8gQKbK5SyoXnE/protection/capacity_to_repair,1623051154963,1623051159748
question,/a65UJQzWW8gQKbK5SyoXnE/accountability/aap_start,1623051159763,1623051160675
question,/a65UJQzWW8gQKbK5SyoXnE/accountability/aid_received,1623051160688,1623051164562
question,/a65UJQzWW8gQKbK5SyoXnE/contact,1623051164578,1623051166102
question,/a65UJQzWW8gQKbK5SyoXnE/contact_name,1623051166119,1623051169665
question,/a65UJQzWW8gQKbK5SyoXnE/contact,1623051169679,1623051171347
question,/a65UJQzWW8gQKbK5SyoXnE/m_f_survey,1623051171363,1623051174022
question,/a65UJQzWW8gQKbK5SyoXnE/thanks,1623051174037,1623051175085
question,/a65UJQzWW8gQKbK5SyoXnE/gpslocation,1623051175103,1623051184423
end screen,,1623051184441,1623051185425
form save,,1623051185855,
form exit,,1623051185855,
form finalize,,1623051185855,
