event,node,start,end
form start,,1623918380787,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623918380788,1623918384615
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623918384636,1623918419487
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623918419508,1623918431440
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623918431457,1623918434163
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623918434178,1623918442617
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623918442635,1623918445782
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623918445796,1623918447974
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623918447992,1623918449407
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623918449425,1623918457757
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623918457776,1623918460519
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623918460537,1623918466364
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623918466376,1623918484538
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623918484552,1623918488321
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623918488346,1623918490586
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623918490604,1623918494104
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623918494119,1623918496229
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623918496244,1623918498693
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623918498708,1623918501364
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623918501380,1623918505848
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623918505864,1623918610789
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623918610844,1623918632133
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623918632150,1623918635284
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623918635304,1623918654202
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623918654221,1623918980381
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623918980477,1623919773939
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623919773990,1623920053449
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623920053516,1623920061063
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623920061083,1623920073528
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623920073534,1623920092885
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623920092903,1623920136069
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623920136090,1623920142995
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623920143016,1623920146217
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623920146237,1623920203603
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623920203623,1623920207509
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623920207531,1623920233996
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623920234014,1623920242941
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623920242958,1623920251821
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623920251836,1623920283081
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623920283099,1623920312915
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623920312936,1623920317911
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623920317934,1623920328585
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623920328597,1623920334289
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623920334305,1623920355267
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623920355287,1623920363606
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623920363623,1623920391482
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623920391504,1623920409805
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623920409823,1623920425686
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623920425705,1623920466538
