event,node,start,end
form start,,1623920091774,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623920091777,1623920094982
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623920094992,1623920097211
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623920097218,1623920107389
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623920107397,1623920109761
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623920109766,1623920125622
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623920125631,1623920128057
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623920128064,1623920131952
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623920131958,1623920133881
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623920133887,1623920143844
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623920143849,1623920146441
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623920146450,1623920149681
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623920149689,1623920157215
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623920157222,1623920159392
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623920159397,1623920162630
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623920162636,1623920166295
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623920166310,1623920169767
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623920169774,1623920170994
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623920171024,1623920171997
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623920172004,1623920254985
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623920255018,1623920257392
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623920257399,1623920262185
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623920262190,1623920267561
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623920267569,1623920276247
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623920276254,1623920277546
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623920277552,1623920280094
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623920280104,1623920282485
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623920282491,1623920284370
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623920284376,1623920353029
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623920353055,1623920399957
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623920399980,1623920467968
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623920467998,1623920483923
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623920483931,1623920485220
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623920485227,1623920489372
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623920489380,1623920505047
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623920505053,1623920507056
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623920507062,1623920508778
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623920508784,1623920515965
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623920515976,1623920519235
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623920519244,1623920529714
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623920529720,1623920534416
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623920534424,1623920535732
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623920535740,1623920571522
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623920571527,1623920582292
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623920582298,1623920597030
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623920597036,1623920598306
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623920598313,1623920607579
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623920607588,1623920610359
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623920610365,1623920615205
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623920615214,1623920617838
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623920617846,1623920623450
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623920623457,1623920628020
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623920628025,1623920631259
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623920631267,1623920634260
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623920634267,1623920641878
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623920641893,1623920645141
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623920645149,1623920668071
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623920668078,1623920707290
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623920707301,1623920710507
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623920710513,1623920715108
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623920715114,1623920747572
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623920747587,1623920750462
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623920750469,1623920752868
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623920752876,1623920768246
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623920768257,1623920770203
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623920770209,1623920790636
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623920790643,1623920791932
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623920791938,1623920838870
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623920838883,1623920841780
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623920841787,1623920851745
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/planning_school_enrollment,1623920851751,1623920855550
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623920855556,1623920859517
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623920859523,1623920863832
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623920863837,1623920865660
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623920865668,1623920879615
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623920879621,1623920880820
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623920880828,1623920890424
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623920890432,1623920895159
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_conflict,1623920895167,1623920904119
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623920904127,1623920906061
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_conflict,1623920906069,1623920919139
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623920919145,1623920936443
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/reasons_for_debt,1623920936450,1623920947610
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/debt_due_to_covid,1623920947616,1623920951048
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623920951053,1623920954926
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623920954932,1623920974022
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/working_adults,1623920974042,1623920975418
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623920975424,1623920983711
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623920983731,1623920987554
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623920987562,1623921021602
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/working_adults,1623921021627,1623921023079
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623921023084,1623921025095
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/working_adults,1623921025109,1623921033559
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/unemployed_adults,1623921033565,1623921038285
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/under_18_working,1623921038293,1623921044003
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/covid_employment,1623921044009,1623921049071
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/primary_livelihood,1623921049079,1623921052783
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/essential_needs,1623921052790,1623921070365
question,/ahLxPkShSJwCFf2hsNoEbs/protection/income_earner,1623921070398,1623921076720
question,/ahLxPkShSJwCFf2hsNoEbs/protection/decision_maker,1623921076726,1623921080746
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_start,1623921080751,1623921082041
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/feel_unsafe,1623921082048,1623921085191
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/unsafe_locations,1623921085197,1623921091772
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/feel_unsafe,1623921091779,1623921094720
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_girls,1623921094726,1623921123523
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_boys,1623921123530,1623921129521
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_concerns_women,1623921129526,1623921134628
question,/ahLxPkShSJwCFf2hsNoEbs/protection/building_damage,1623921134637,1623921137788
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aap_start,1623921137796,1623921139303
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_received,1623921139310,1623921151579
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/barriers_to_aid,1623921151585,1623921160502
question,/ahLxPkShSJwCFf2hsNoEbs/accountability/aid_preferred,1623921160509,1623921169611
