event,node,start,end
form start,,1622721595467,
question,/a65UJQzWW8gQKbK5SyoXnE/enumerator_num,1622721595468,1622721643516
question,/a65UJQzWW8gQKbK5SyoXnE/sample_id,1622721643531,1622721645977
question,/a65UJQzWW8gQKbK5SyoXnE/dc_method,1622721645991,1622721647998
question,/a65UJQzWW8gQKbK5SyoXnE/location,1622721648015,1622721653537
question,/a65UJQzWW8gQKbK5SyoXnE/camp,1622721653552,1622721655520
question,/a65UJQzWW8gQKbK5SyoXnE/consent,1622721655534,1622721658310
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/hhh_r,1622721658324,1622721660329
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/age_respondent_r,1622721660338,1622721667174
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/gender_respondent_r,1622721667186,1622721669974
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/hh_location_wb,1622721669993,1622721674106
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/refugee_status,1622721674117,1622721675436
group questions,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/household_size,1622721675450,1622721700727
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/calc_note,1622721700800,1622721701872
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/preg_lactating,1622721701882,1622721703367
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/chronic_illness,1622721703393,1622721705392
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/food_consumption,1622721705405,1622721722251
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/food_insecurity,1622721722308,1622721734805
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/lack_of_food_mitigation,1622721734862,1622721750213
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/health_start,1622721750288,1622721753822
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/distance_hospital,1622721753837,1622721760151
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/health_accessed,1622721760166,1622721763757
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/vaccine,1622721763768,1622721766210
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/vaccine_why_not,1622721766226,1622721767625
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/presence_disability,1622721767633,1622721770792
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/num_disability,1622721770804,1622721772710
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/disabilities_loop/member[1]/difficulty_sex,1622721772723,1622721774360
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/disabilities_loop/member[1]/difficulty_age,1622721774373,1622721779098
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/disabilities_loop/member[1]/difficulty_seeing,1622721779116,1622721781998
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/calc_tot_cwd_note,1622721782010,1622721783010
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/difficulty_accessing_services,1622721783024,1622721784640
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/why_difficulty_services,1622721784650,1622721786543
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/hh_member_distress,1622721786559,1622721788088
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/child_distress_number,1622721788097,1622721789651
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/adult_distress_number,1622721789665,1622721791161
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/psychosocial_services,1622721791173,1622721792730
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/women_specialised_services,1622721792743,1622721794548
question,/a65UJQzWW8gQKbK5SyoXnE/wash/wash_start,1622721794562,1622721795442
question,/a65UJQzWW8gQKbK5SyoXnE/wash/drinking_water_source,1622721795457,1622721796539
question,/a65UJQzWW8gQKbK5SyoXnE/wash/wash_start,1622721796555,1622721797572
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/women_specialised_services,1622721797587,1622721798716
question,/a65UJQzWW8gQKbK5SyoXnE/wash/wash_start,1622721798732,1622721799722
question,/a65UJQzWW8gQKbK5SyoXnE/wash/drinking_water_source,1622721799735,1622721801557
question,/a65UJQzWW8gQKbK5SyoXnE/wash/domestic_water_source,1622721801567,1622721804852
question,/a65UJQzWW8gQKbK5SyoXnE/wash/latrines,1622721804866,1622721806889
question,/a65UJQzWW8gQKbK5SyoXnE/wash/shared_sanitation,1622721806909,1622721809638
question,/a65UJQzWW8gQKbK5SyoXnE/wash/latrine_items,1622721809653,1622721811875
question,/a65UJQzWW8gQKbK5SyoXnE/wash/latrines_lockable_inside,1622721811885,1622721814069
question,/a65UJQzWW8gQKbK5SyoXnE/wash/latrine_waste_drainage,1622721814084,1622721815879
group questions,/a65UJQzWW8gQKbK5SyoXnE/wash/water_sufficiency,1622721815890,1622721822851
question,/a65UJQzWW8gQKbK5SyoXnE/wash/num_of_floods,1622721822891,1622721825548
question,/a65UJQzWW8gQKbK5SyoXnE/wash/floods/floods_effects,1622721825563,1622721826996
question,/a65UJQzWW8gQKbK5SyoXnE/wash/floods/floods_shelter_effects,1622721827012,1622721828144
question,/a65UJQzWW8gQKbK5SyoXnE/wash/floods/floods_mitigation_measures,1622721828160,1622721829930
question,/a65UJQzWW8gQKbK5SyoXnE/wash/solid_waste_disposal,1622721829944,1622721831554
question,/a65UJQzWW8gQKbK5SyoXnE/wash/waste_accumulation_days,1622721831569,1622721833452
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/shelter_start,1622721833468,1622721834777
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/shelter_type_inperson,1622721834792,1622721836473
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/occupancy_status,1622721836489,1622721837670
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/shelter_type_inperson,1622721837688,1622721839122
group questions,/a65UJQzWW8gQKbK5SyoXnE/shelter/shelter_description,1622721839136,1622721848352
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/occupancy_status,1622721848400,1622721850009
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/hh_risk_eviction,1622721850021,1622721852986
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/shelter_issues,1622721853001,1622721854696
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/hh_risk_eviction,1622721854711,1622721856399
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/shelter_issues,1622721856412,1622721858156
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/experienced_threats,1622721858169,1622721860045
question,/a65UJQzWW8gQKbK5SyoXnE/education/education_start,1622721860058,1622721861798
group questions,/a65UJQzWW8gQKbK5SyoXnE/education/school_enrollment,1622721861815,1622721867078
question,/a65UJQzWW8gQKbK5SyoXnE/education/school_going_children/remote_learning,1622721867108,1622721868766
question,/a65UJQzWW8gQKbK5SyoXnE/education/school_going_children/dropout,1622721868781,1622721870269
question,/a65UJQzWW8gQKbK5SyoXnE/education/school_going_children/drop_out_reason,1622721870284,1622721875234
question,/a65UJQzWW8gQKbK5SyoXnE/education/school_going_children/disabled_schl_attendance,1622721875251,1622721877041
question,/a65UJQzWW8gQKbK5SyoXnE/education/school_going_children/disabled_edu_challenges,1622721877055,1622721879000
question,/a65UJQzWW8gQKbK5SyoXnE/education/school_going_children/catch_up_learning,1622721879016,1622721880861
question,/a65UJQzWW8gQKbK5SyoXnE/education/school_pss_services,1622721880875,1622721883023
question,/a65UJQzWW8gQKbK5SyoXnE/education/primary_school_place,1622721883039,1622721885480
question,/a65UJQzWW8gQKbK5SyoXnE/education/secondary_school_place,1622721885495,1622721886395
question,/a65UJQzWW8gQKbK5SyoXnE/education/school_safety,1622721886409,1622721888419
question,/a65UJQzWW8gQKbK5SyoXnE/education/school_safety_concerns,1622721888433,1622721892413
