event,node,start,end
form start,,1623842808119,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623842808121,1623842817133
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623842817146,1623842819045
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623842819059,1623842881737
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623842881754,1623842886989
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623842887005,1623842893517
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623842893534,1623842894664
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623842894681,1623842896685
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623842896700,1623842898116
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623842898131,1623842909516
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623842909531,1623842911040
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623842911057,1623842933201
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623842933214,1623842936234
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623842936249,1623842938398
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623842938407,1623842941293
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623842941311,1623842943442
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623842943453,1623842947272
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623842947289,1623842975040
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623842975057,1623843009956
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623843009973,1623843014297
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623843014311,1623843019286
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623843019303,1623843141820
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623843141863,1623843168228
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623843168246,1623843208562
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623843208604,1623843223936
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623843223953,1623843228128
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623843228146,1623843252968
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623843252985,1623843341028
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623843341064,1623843405220
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623843405283,1623843483187
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623843483253,1623843486560
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623843486573,1623843500813
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623843500827,1623843509839
