event,node,start,end
form start,,1623873016235,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623873016237,1623873095346
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623873095363,1623873097899
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623873097921,1623873116369
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623873116380,1623873120421
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623873120438,1623873165029
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623873165047,1623873173243
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623873173264,1623873176317
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623873176333,1623873178945
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623873178964,1623873182353
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623873182362,1623873186273
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623873186289,1623873189517
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623873189537,1623873207438
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623873207453,1623873260974
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623873260990,1623873263415
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623873263428,1623873265797
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623873265814,1623873268771
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623873268785,1623873271270
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623873271286,1623873297454
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623873297493,1623873299338
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623873299354,1623873302110
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623873302125,1623873312283
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623873312299,1623873317735
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623873317774,1623873319251
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623873319265,1623873529981
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623873530018,1623873675691
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623873675738,1623873763555
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623873763634,1623873765157
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623873765174,1623873794647
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623873794665,1623873824508
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623873824525,1623873852702
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623873852718,1623873868256
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623873868275,1623873896152
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623873896165,1623873903823
