event,node,start,end
form start,,1623961754098,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623961754100,1623961768606
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623961768621,1623961771050
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623961771064,1623961785723
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623961785736,1623961796461
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623961796476,1623961805644
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623961805661,1623961809449
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623961809468,1623961811983
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623961812002,1623961815574
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623961815587,1623961819023
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623961819035,1623961822027
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623961822043,1623961824828
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623961824848,1623961829524
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623961829544,1623961941085
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623961941100,1623961944720
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623961944738,1623961947047
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623961947066,1623961950638
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623961950657,1623961960878
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623961960894,1623962006267
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623962006302,1623962007924
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623962007943,1623962012947
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623962012965,1623962019293
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623962019309,1623962126837
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623962126880,1623962206906
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623962206959,1623962270056
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623962270123,1623962271501
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623962271521,1623962289128
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623962289143,1623962301825
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623962301842,1623962316133
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623962316150,1623962319017
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623962319037,1623962328111
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623962328128,1623962334762
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623962334774,1623962336078
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623962336098,1623962344256
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623962344273,1623962360445
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623962360463,1623962373175
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623962373188,1623962374429
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623962374450,1623962380184
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623962380196,1623962383258
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623962383275,1623962385782
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623962385795,1623962388567
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623962388582,1623962395685
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623962395704,1623962400926
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623962400942,1623962417343
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623962417357,1623962429238
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623962429279,1623962432043
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623962432053,1623962434729
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623962434743,1623962446025
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623962446042,1623962447261
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623962447282,1623962453940
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623962453955,1623962472814
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623962472838,1623962478467
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623962478483,1623962481411
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623962481423,1623962484230
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/non_palestinian_threats,1623962484243,1623962491994
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623962492010,1623962493275
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623962493294,1623962541008
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623962541028,1623962545574
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623962545588,1623962555254
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623962555270,1623962568004
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623962568022,1623962577063
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623962577080,1623962581605
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623962581625,1623962590865
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety_concerns,1623962590883,1623962607977
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623962607994,1623962609481
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623962609501,1623962626920
