event,node,start,end
form start,,1623924450046,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623924450047,1623924459451
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623924459469,1623924461425
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623924461438,1623924466232
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623924466243,1623924468684
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623924468699,1623924476499
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623924476516,1623924478422
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623924478442,1623924480345
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623924480356,1623924482283
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623924482305,1623924483986
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623924483997,1623924486987
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623924487002,1623924492062
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623924492080,1623924493906
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623924493922,1623924496687
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623924496702,1623924512682
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623924512702,1623924574622
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623924574662,1623924575881
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623924575900,1623924581061
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623924581078,1623924586937
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623924586951,1623924688838
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623924688874,1623924737076
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623924737116,1623924824210
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623924824252,1623924825369
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623924825390,1623924835038
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623924835055,1623924844992
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623924845007,1623924854476
