event,node,start,end
form start,,1623915517749,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623915517754,1623915530704
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623915530731,1623915533661
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623915533667,1623915542853
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623915542860,1623915544235
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623915544240,1623915547700
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623915547708,1623915550302
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623915550307,1623915648612
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623915648619,1623915651071
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623915651078,1623915668678
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623915668684,1623915676841
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623915676846,1623915679040
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623915679046,1623915683440
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623915683446,1623915687704
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623915687710,1623915693846
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623915693852,1623915695046
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623915695052,1623915700653
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623915700658,1623915703098
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623915703104,1623915816662
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623915816701,1623915831773
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623915831781,1623915838210
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623915838216,1623915844309
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623915844315,1623915853005
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623915853010,1623915854387
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623915854392,1623915856749
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623915856756,1623915870106
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623915870113,1623915872882
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623915872888,1623916047165
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623916047191,1623916150746
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623916150770,1623916233016
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623916233044,1623916239172
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623916239178,1623916240411
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623916240416,1623916256375
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623916256385,1623916268673
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623916268677,1623916306185
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623916306190,1623916309507
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623916309512,1623916324407
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623916324412,1623916344046
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_barriers,1623916344053,1623916374917
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/obstructive_barriers,1623916374923,1623916400876
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_barriers,1623916400883,1623916405201
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623916405210,1623916410861
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623916410867,1623916440561
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623916440574,1623916475233
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623916475240,1623916478320
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623916478329,1623916499637
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623916499643,1623916501238
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623916501244,1623916520474
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623916520480,1623916535060
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623916535066,1623916540897
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623916540907,1623916561565
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623916561571,1623916574184
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623916574191,1623916575565
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623916575572,1623916581316
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623916581321,1623916606756
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623916606761,1623916615477
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623916615484,1623916622360
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623916622365,1623916623880
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623916623887,1623916626944
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623916626951,1623916629323
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623916629331,1623916639149
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623916639156,1623916644112
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623916644117,1623916648216
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623916648224,1623916664669
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623916664687,1623916667877
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623916667883,1623916674381
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623916674388,1623916828131
