event,node,start,end
form start,,1623832428266,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623832428268,1623832433388
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623832433396,1623832436169
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623832436176,1623832440967
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623832440976,1623832444120
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623832444127,1623832453750
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623832453757,1623832456097
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623832456101,1623832459250
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623832459255,1623832461590
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623832461596,1623832464016
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623832464022,1623832501067
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623832501075,1623832503251
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623832503258,1623832506828
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623832506834,1623832511259
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623832511266,1623832554678
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623832554704,1623832556442
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623832556447,1623832561873
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623832561879,1623832569562
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623832569572,1623832577005
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623832577011,1623832578934
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623832578942,1623832582649
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623832582658,1623832709388
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623832709413,1623832800431
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623832800453,1623832906092
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623832906122,1623832922345
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623832922353,1623832923970
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623832923976,1623832971144
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623832971151,1623832992256
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623832992262,1623833011611
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623833011617,1623833023192
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623833023198,1623833034179
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623833034186,1623833037384
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623833037391,1623833056554
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623833056563,1623833078741
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623833078747,1623833080331
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623833080338,1623833091317
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623833091324,1623833111853
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623833111859,1623833131073
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623833131079,1623833132439
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623833132445,1623833138716
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623833138724,1623833153118
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623833153123,1623833159587
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623833159594,1623833164441
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623833164448,1623833167770
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623833167778,1623833183473
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623833183480,1623833194864
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623833194872,1623833204228
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623833204235,1623833220974
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623833220991,1623833236017
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623833236023,1623833245646
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623833245653,1623833254836
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623833254844,1623833256482
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623833256487,1623833261245
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623833261250,1623833292621
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623833292643,1623833303760
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623833303766,1623833324501
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623833324507,1623833343239
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623833343245,1623833344978
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623833344983,1623833358649
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/remote_learning,1623833358668,1623833369040
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623833369046,1623833374231
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623833374237,1623833383099
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/planning_school_enrollment,1623833383104,1623833395214
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/non_enrollment_reasons,1623833395220,1623833408415
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/planning_school_enrollment,1623833408422,1623833410555
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623833410566,1623833422879
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623833422885,1623833432976
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623833432981,1623833446790
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623833446797,1623833454895
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623833454901,1623833456764
