event,node,start,end
form start,,1623055244934,
question,/a65UJQzWW8gQKbK5SyoXnE/enumerator_num,1623055244936,1623055253512
question,/a65UJQzWW8gQKbK5SyoXnE/sample_id,1623055253529,1623055257660
question,/a65UJQzWW8gQKbK5SyoXnE/dc_method,1623055257676,1623055259742
question,/a65UJQzWW8gQKbK5SyoXnE/location,1623055259758,1623055262586
question,/a65UJQzWW8gQKbK5SyoXnE/camp,1623055262599,1623055264603
question,/a65UJQzWW8gQKbK5SyoXnE/consent,1623055264619,1623055266847
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/hhh_r,1623055266859,1623055268472
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/age_respondent_r,1623055268481,1623055272705
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/gender_respondent_r,1623055272720,1623055274468
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/hh_location_wb,1623055274483,1623055276801
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/refugee_status,1623055276817,1623055279108
group questions,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/household_size,1623055279124,1623055295918
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/calc_note,1623055295996,1623055297106
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/preg_lactating,1623055297122,1623055300225
question,/a65UJQzWW8gQKbK5SyoXnE/hh_characteristics/chronic_illness,1623055300241,1623055303306
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/food_consumption,1623055303325,1623055319455
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/food_insecurity,1623055319522,1623055332804
group questions,/a65UJQzWW8gQKbK5SyoXnE/food_security/lack_of_food_mitigation,1623055332851,1623055348965
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/health_start,1623055349051,1623055349932
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/distance_hospital,1623055349951,1623055352444
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/health_accessed,1623055352459,1623055402059
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/treatment_required,1623055402074,1623055408206
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/difficulty_accessing_treatment,1623055408223,1623055409709
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/vaccine,1623055409723,1623055411033
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/vaccine_why_not,1623055411047,1623055412199
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/presence_disability,1623055412215,1623055413530
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/vaccine_why_not,1623055413546,1623055416264
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/presence_disability,1623055416277,1623055418227
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/num_disability,1623055418244,1623055423323
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/disabilities_loop/member[1]/difficulty_sex,1623055423338,1623055424962
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/disabilities_loop/member[1]/difficulty_age,1623055424975,1623055427973
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/disabilities_loop/member[1]/difficulty_seeing,1623055427986,1623055431578
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/disabilities_loop/member[1]/difficulty_hearing,1623055431592,1623055433987
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/disabilities_loop/member[2]/difficulty_sex,1623055434001,1623055435096
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/disabilities_loop/member[2]/difficulty_age,1623055435108,1623055437240
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/disabilities_loop/member[2]/difficulty_seeing,1623055437252,1623055441504
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/disabilities_loop/member[2]/difficulty_hearing,1623055441517,1623055442908
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/calc_tot_cwd_note,1623055442922,1623055545915
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/difficulty_accessing_services,1623055545931,1623055547509
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/disabilities/why_difficulty_services,1623055547523,1623055548894
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/hh_member_distress,1623055548908,1623055551932
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/child_distress_number,1623055551946,1623055555605
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/adult_distress_number,1623055555619,1623055556931
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/psychosocial_services,1623055556946,1623055563558
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/adult_distress_number,1623055563573,1623055566732
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/child_distress_number,1623055566744,1623055570408
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/adult_distress_number,1623055570420,1623055572254
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/psychosocial_services,1623055572269,1623055573267
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/type_of_pss,1623055573286,1623055577643
question,/a65UJQzWW8gQKbK5SyoXnE/health_group/women_specialised_services,1623055577656,1623055590703
question,/a65UJQzWW8gQKbK5SyoXnE/wash/wash_start,1623055590716,1623055591526
question,/a65UJQzWW8gQKbK5SyoXnE/wash/drinking_water_source,1623055591541,1623055592795
question,/a65UJQzWW8gQKbK5SyoXnE/wash/domestic_water_source,1623055592809,1623055593904
question,/a65UJQzWW8gQKbK5SyoXnE/wash/latrines,1623055593919,1623055595200
question,/a65UJQzWW8gQKbK5SyoXnE/wash/shared_sanitation,1623055595215,1623055596689
question,/a65UJQzWW8gQKbK5SyoXnE/wash/latrine_items,1623055596704,1623055597926
question,/a65UJQzWW8gQKbK5SyoXnE/wash/latrines_lockable_inside,1623055597940,1623055600572
question,/a65UJQzWW8gQKbK5SyoXnE/wash/latrine_waste_drainage,1623055600588,1623055601955
group questions,/a65UJQzWW8gQKbK5SyoXnE/wash/water_sufficiency,1623055601968,1623055609064
question,/a65UJQzWW8gQKbK5SyoXnE/wash/num_of_floods,1623055609110,1623055612923
question,/a65UJQzWW8gQKbK5SyoXnE/wash/floods/floods_effects,1623055612935,1623055618208
question,/a65UJQzWW8gQKbK5SyoXnE/wash/floods/floods_shelter_effects,1623055618221,1623055621909
question,/a65UJQzWW8gQKbK5SyoXnE/wash/floods/floods_mitigation_measures,1623055621924,1623055623506
question,/a65UJQzWW8gQKbK5SyoXnE/wash/solid_waste_disposal,1623055623522,1623055627741
question,/a65UJQzWW8gQKbK5SyoXnE/wash/waste_accumulation_days,1623055627753,1623055630930
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/shelter_start,1623055630943,1623055632161
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/shelter_type_inperson,1623055632174,1623055634179
group questions,/a65UJQzWW8gQKbK5SyoXnE/shelter/shelter_description,1623055634193,1623055638538
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/shelter_type_inperson,1623055638586,1623055639785
group questions,/a65UJQzWW8gQKbK5SyoXnE/shelter/shelter_description,1623055639799,1623055640738
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/shelter_type_inperson,1623055640777,1623055643811
group questions,/a65UJQzWW8gQKbK5SyoXnE/shelter/shelter_description,1623055643828,1623055644737
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/occupancy_status,1623055644775,1623055648219
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/hh_risk_eviction,1623055648232,1623055651220
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/shelter_issues,1623055651236,1623055653638
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/experienced_threats,1623055653657,1623055658598
question,/a65UJQzWW8gQKbK5SyoXnE/education/education_start,1623055658614,1623055659372
question,/a65UJQzWW8gQKbK5SyoXnE/shelter/experienced_threats,1623055659388,1623055660469
question,/a65UJQzWW8gQKbK5SyoXnE/education/education_start,1623055660484,1623055661397
group questions,/a65UJQzWW8gQKbK5SyoXnE/education/school_enrollment,1623055661414,1623055673505
question,/a65UJQzWW8gQKbK5SyoXnE/education/school_going_children/remote_learning,1623055673537,1623055675274
group questions,/a65UJQzWW8gQKbK5SyoXnE/education/school_enrollment,1623055675288,1623055676193
question,/a65UJQzWW8gQKbK5SyoXnE/education/school_going_children/remote_learning,1623055676306,1623055679283
question,/a65UJQzWW8gQKbK5SyoXnE/education/school_going_children/dropout,1623055679300,1623055683600
question,/a65UJQzWW8gQKbK5SyoXnE/education/school_going_children/drop_out_reason,1623055683614,1623055685601
question,/a65UJQzWW8gQKbK5SyoXnE/education/school_going_children/disabled_schl_attendance,1623055685616,1623055691678
question,/a65UJQzWW8gQKbK5SyoXnE/education/school_going_children/disabled_edu_challenges,1623055691696,1623055695606
question,/a65UJQzWW8gQKbK5SyoXnE/education/school_going_children/catch_up_learning,1623055695624,1623055697738
question,/a65UJQzWW8gQKbK5SyoXnE/education/school_pss_services,1623055697753,1623055701528
question,/a65UJQzWW8gQKbK5SyoXnE/education/primary_school_place,1623055701545,1623055708679
