event,node,start,end
form start,,1623837228238,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623837228240,1623837261838
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623837261844,1623837264126
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623837264131,1623837362147
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623837362154,1623837364292
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623837364298,1623837406707
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623837406716,1623837408997
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623837409004,1623837411219
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623837411227,1623837414093
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623837414099,1623837416301
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623837416310,1623837418683
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623837418689,1623837421671
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623837421679,1623837427302
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623837427308,1623837432713
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623837432719,1623837437481
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623837437487,1623837443884
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623837443894,1623837449404
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623837449411,1623837550944
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623837550969,1623837555700
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623837555707,1623837559354
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623837559366,1623837567962
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623837567969,1623837579641
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623837579649,1623837580978
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623837580984,1623837582667
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623837582678,1623837585855
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623837585861,1623837595244
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623837595251,1623837678687
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623837678717,1623837760792
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623837760815,1623837856715
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623837856742,1623837861418
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623837861426,1623837862736
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623837862742,1623837882216
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623837882223,1623837896073
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623837896080,1623837902028
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623837902036,1623837925755
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623837925762,1623837943677
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623837943683,1623837956174
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623837956179,1623837957530
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623837957538,1623837976753
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623837976758,1623837994562
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/type_of_pss,1623837994570,1623837998941
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623837998948,1623838026985
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623838026992,1623838028926
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623838028932,1623838036385
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623838036391,1623838048733
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623838048739,1623838052545
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623838052554,1623838055239
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623838055246,1623838061009
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623838061014,1623838099150
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623838099155,1623838106479
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623838106488,1623838111608
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623838111615,1623838128407
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623838128424,1623838131727
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623838131734,1623838149817
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623838149824,1623838162857
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623838162869,1623838164211
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623838164216,1623838167922
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623838167928,1623838195949
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623838195963,1623838200037
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623838200045,1623838202520
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623838202532,1623838226657
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623838226666,1623838227955
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623838227961,1623838280732
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623838280742,1623838287158
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623838287173,1623838301560
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/planning_school_enrollment,1623838301568,1623838311271
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623838311277,1623838327337
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623838327344,1623838337539
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623838337552,1623838340669
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623838340678,1623838364035
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623838364041,1623838368885
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623838368896,1623838380409
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623838380416,1623838392754
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623838392759,1623838396535
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623838396547,1623838400795
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_conflict,1623838400804,1623838469457
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623838469464,1623838480804
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/reasons_for_debt,1623838480810,1623838483670
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/debt_due_to_covid,1623838483677,1623838488929
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623838488935,1623838512313
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623838512323,1623838557050
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/working_adults,1623838557066,1623838655647
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/unemployed_adults,1623838655656,1623838740744
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/under_18_working,1623838740749,1623838895711
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/covid_employment,1623838895716,1623838897082
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/under_18_working,1623838897091,1623839115038
