event,node,start,end
form start,,1623838949213,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623838949214,1623838953000
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623838953011,1623838956308
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623838956325,1623838976684
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623838976700,1623838979000
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623838979017,1623838983995
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623838984011,1623838986111
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623838986130,1623838988319
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623838988332,1623838994703
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623838994721,1623839068741
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623839068756,1623839070129
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623839070141,1623839076421
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623839076440,1623839077667
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623839077680,1623839079530
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623839079544,1623839084392
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623839084413,1623839111727
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623839111768,1623839112587
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623839112605,1623839118441
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623839118455,1623839123364
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623839123377,1623839135772
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623839135852,1623839154884
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623839154934,1623839167985
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623839168060,1623839168946
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623839168963,1623839177679
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623839177697,1623839186994
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623839187011,1623839187884
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623839187902,1623839189280
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623839189291,1623839212940
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623839212958,1623839218166
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623839218186,1623839224831
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623839224844,1623839230624
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623839230638,1623839231703
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623839231724,1623839234268
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623839234283,1623839250269
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623839250289,1623839252029
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623839252045,1623839252891
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623839252913,1623839255708
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623839255721,1623839260163
