event,node,start,end
form start,,1623839633698,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623839633701,1623839657260
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623839657267,1623839659849
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623839659854,1623839678756
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623839678762,1623839682270
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623839682278,1623839914383
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623839914390,1623839919580
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623839919587,1623839921688
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623839921694,1623839926908
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623839926913,1623839930659
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623839930667,1623839933614
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623839933629,1623839935781
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623839935787,1623839940863
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623839940870,1623839944120
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623839944126,1623839946775
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623839946781,1623839950395
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623839950402,1623839953233
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623839953240,1623840008097
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623840008139,1623840011869
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623840011876,1623840016105
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623840016118,1623840026462
