event,node,start,end
form start,,1623841318902,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623841318903,1623841324192
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623841324207,1623841326476
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623841326490,1623841339907
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623841339920,1623841342270
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623841342285,1623841358563
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623841358574,1623841360609
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623841360622,1623841364294
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623841364304,1623841366903
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623841366920,1623841370229
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623841370239,1623841373013
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623841373025,1623841378166
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623841378181,1623841380227
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623841380236,1623841382994
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623841383007,1623841385171
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623841385185,1623841402506
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623841402543,1623841403749
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623841403769,1623841406310
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623841406323,1623841411995
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623841412005,1623841492607
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623841492651,1623841507751
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623841507804,1623841538958
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623841539030,1623841540248
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623841540266,1623841558536
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623841558552,1623841562965
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623841562984,1623841576663
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623841576683,1623841581805
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623841581821,1623841592473
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623841592489,1623841614271
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/num_disability,1623841614285,1623841617152
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_sex,1623841617171,1623841619605
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_age,1623841619619,1623841626005
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_walking,1623841626018,1623841630986
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623841630999,1623841632463
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/difficulty_accessing_services,1623841632490,1623841646550
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623841646569,1623841654508
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623841654524,1623841658563
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/type_of_pss,1623841658577,1623841660769
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623841660789,1623841663997
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623841664018,1623841665336
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623841665352,1623841667625
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623841667636,1623841669881
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623841669900,1623841678597
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623841678608,1623841680681
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623841680695,1623841689603
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623841689614,1623841692372
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623841692385,1623841708316
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623841708332,1623841717915
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623841717949,1623841721785
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623841721797,1623841724015
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623841724031,1623841729540
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623841729554,1623841731543
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623841731552,1623841733507
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623841733520,1623841754439
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623841754462,1623841757066
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623841757082,1623841761211
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623841761228,1623841788069
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/non_palestinian_threats,1623841788088,1623841792171
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623841792188,1623841793351
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623841793370,1623841799167
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623841799177,1623841800635
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623841800650,1623841803888
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623841803902,1623841805090
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623841805108,1623842069565
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623842069582,1623842081578
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623842081596,1623842107849
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623842107865,1623842112177
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/how_much_debt,1623842112189,1623842121193
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_expenses,1623842121210,1623842131514
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/expenses,1623842131528,1623842146786
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/working_adults,1623842146822,1623842150409
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/unemployed_adults,1623842150426,1623842152185
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/covid_employment,1623842152202,1623842156200
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/primary_livelihood,1623842156217,1623842162679
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/primary_livelihood_other,1623842162690,1623842168068
group questions,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/essential_needs,1623842168083,1623842199113
question,/ahLxPkShSJwCFf2hsNoEbs/protection/income_earner,1623842199165,1623842204050
question,/ahLxPkShSJwCFf2hsNoEbs/protection/decision_maker,1623842204068,1623842206910
question,/ahLxPkShSJwCFf2hsNoEbs/protection/security_concerns/security_start,1623842206926,1623842208158
