event,node,start,end
form start,,1623835568273,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623835568276,1623835597322
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623835597330,1623835599747
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623835599751,1623835642695
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623835642702,1623835646390
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623835646396,1623835656300
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623835656306,1623835659079
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623835659086,1623835662497
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623835662502,1623835665130
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623835665135,1623835671166
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623835671172,1623835678736
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623835678747,1623835681681
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623835681687,1623835696011
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623835696017,1623835698501
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623835698506,1623835883371
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623835883397,1623835902460
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623835902468,1623835936247
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623835936278,1623835937722
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623835937730,1623835946438
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623835946444,1623835956869
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623835956874,1623835964724
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623835964731,1623835972087
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623835972093,1623835977919
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623835977926,1623836085732
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623836085759,1623836216754
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623836216778,1623836319523
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623836319553,1623836409542
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623836409552,1623836411878
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623836411888,1623836424930
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623836424939,1623836434805
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623836434819,1623836467878
