event,node,start,end
form start,,1623922543011,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623922543012,1623922561708
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623922561724,1623922563634
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623922563642,1623922567519
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623922567534,1623922567881
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623922567891,1623922569125
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623922569142,1623922572008
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623922572023,1623922574045
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623922574066,1623922592976
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623922592996,1623922596700
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623922596721,1623922600230
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623922600250,1623922611548
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623922611572,1623922612954
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623922612968,1623922614505
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623922614519,1623922616576
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623922616591,1623922712980
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623922712992,1623922715119
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623922715134,1623922725065
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623922725086,1623922726786
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623922726800,1623922728694
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623922728710,1623922736419
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623922736440,1623922765610
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623922765659,1623922767652
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623922767670,1623922771312
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623922771329,1623922780464
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623922780478,1623922794471
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623922794545,1623922805625
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623922805665,1623922833261
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623922833332,1623922834375
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623922834396,1623922847927
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623922847946,1623922848809
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623922848824,1623922850643
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623922850665,1623922862613
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623922862627,1623922871437
