event,node,start,end
form start,,1623829237336,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623829237339,1623829245053
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623829245074,1623829247441
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623829247459,1623829260134
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623829260152,1623829263982
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623829264006,1623829309601
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623829309624,1623829312423
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623829312443,1623829314761
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623829314770,1623829319319
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623829319330,1623829321864
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623829321876,1623829350548
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623829350567,1623829359978
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623829359996,1623829365924
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623829365946,1623829370899
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623829370915,1623829381713
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623829381735,1623829423674
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623829423695,1623829425678
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623829425697,1623829431430
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623829431444,1623829433646
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623829433666,1623829438228
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623829438249,1623829454040
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623829454057,1623829497919
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623829497980,1623829502172
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623829502193,1623829505861
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623829505870,1623829538753
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623829538772,1623829724018
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623829724080,1623829912373
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623829912432,1623829914662
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623829914732,1623829915995
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623829916056,1623830121018
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623830121092,1623830124931
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623830124951,1623830126262
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623830126280,1623830131079
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623830131097,1623830165367
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623830165384,1623830181750
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623830181766,1623830199560
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623830199580,1623830202486
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623830202507,1623830233014
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623830233037,1623830257718
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623830257737,1623830262402
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623830262422,1623830306253
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623830306262,1623830309057
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623830309078,1623830316121
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623830316139,1623830402958
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623830402977,1623830412448
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623830412471,1623830414307
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623830414326,1623830415765
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623830415785,1623830422615
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623830422637,1623830443557
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623830443571,1623830456400
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623830456414,1623830498404
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623830498427,1623830503249
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623830503269,1623830526208
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623830526231,1623830536539
