event,node,start,end
form start,,1623927782904,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623927782907,1623927798299
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623927798306,1623927800923
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623927800928,1623927824001
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623927824008,1623927826432
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623927826439,1623927837169
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623927837178,1623927868151
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623927868163,1623927870740
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623927870745,1623927874231
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623927874238,1623927886256
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623927886263,1623927893670
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623927893677,1623927896194
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623927896202,1623927898299
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623927898303,1623927900662
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623927900668,1623927903051
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623927903060,1623927906114
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623927906119,1623927915536
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623927915542,1623927917840
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623927917845,1623927920203
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623927920213,1623927927317
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623927927323,1623927932058
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623927932064,1623928050944
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623928050975,1623928071908
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623928071915,1623928074395
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623928074401,1623928079051
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623928079059,1623928079752
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623928079758,1623928081496
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623928081506,1623928082279
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623928082285,1623928088758
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623928088767,1623928095296
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623928095303,1623928099891
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623928099896,1623928107133
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623928107139,1623928214917
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623928214943,1623928265931
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623928265954,1623928367135
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623928367164,1623928368468
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623928368474,1623928370709
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623928370749,1623928374364
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623928374387,1623928378829
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623928378860,1623928383123
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623928383129,1623928384263
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623928384272,1623928408428
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623928408435,1623928420740
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623928420746,1623928428915
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623928428923,1623928431080
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623928431087,1623928432186
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623928432192,1623928440553
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623928440561,1623928461843
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623928461849,1623928463644
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623928463650,1623928468808
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623928468818,1623928471151
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623928471156,1623928507227
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623928507234,1623928514962
