event,node,start,end
form start,,1623919076920,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623919076924,1623919083386
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623919083403,1623919085421
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623919085436,1623919098904
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623919098912,1623919101590
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623919101612,1623919130627
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623919130643,1623919133553
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623919133572,1623919135690
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623919135704,1623919138263
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623919138277,1623919140049
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623919140061,1623919142467
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623919142484,1623919155420
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623919155437,1623919191401
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623919191419,1623919194586
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623919194609,1623919199182
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623919199197,1623919226859
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623919226906,1623919228463
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623919228480,1623919233623
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623919233638,1623919240022
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623919240033,1623919297606
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623919297638,1623919334827
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623919334885,1623919378740
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623919378814,1623919380542
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623919380561,1623919393005
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623919393021,1623919404489
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623919404514,1623919413257
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623919413276,1623919417962
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623919417972,1623919428857
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623919428873,1623919441950
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/num_disability,1623919441964,1623919447146
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_sex,1623919447157,1623919450290
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_age,1623919450307,1623919455293
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623919455302,1623919467295
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_age,1623919467312,1623919469260
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_sex,1623919469276,1623919470828
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/num_disability,1623919470842,1623919473054
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623919473070,1623919486510
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623919486520,1623919487878
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623919487897,1623919498066
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623919498084,1623919502696
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623919502703,1623919520595
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623919520616,1623919522158
