event,node,start,end
form start,,1623918563475,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623918563477,1623918568047
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623918568058,1623918570654
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623918570659,1623918591555
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623918591561,1623918594131
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623918594139,1623918601877
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623918601885,1623918604731
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623918604740,1623918623553
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623918623558,1623918627698
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623918627704,1623918630174
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623918630182,1623918632999
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623918633006,1623918635284
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623918635295,1623918638944
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623918638952,1623918641137
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623918641142,1623918644502
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623918644510,1623918647619
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623918647624,1623918785290
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623918785316,1623918790067
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623918790074,1623918792645
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623918792652,1623918804025
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623918804032,1623918810866
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623918810875,1623918814645
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623918814650,1623918820480
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623918820488,1623918891603
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623918891622,1623919011209
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623919011232,1623919163192
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623919163220,1623919166378
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623919166386,1623919167725
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623919167730,1623919223394
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623919223403,1623919234854
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623919234860,1623919243515
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623919243522,1623919246954
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_barriers,1623919246959,1623919250653
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623919250659,1623919260866
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_barriers,1623919260874,1623919340526
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/obstructive_barriers,1623919340534,1623919362088
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623919362094,1623919370866
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623919370873,1623919378212
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623919378218,1623919403061
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623919403066,1623919437762
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/num_disability,1623919437767,1623919440209
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_sex,1623919440215,1623919442949
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_age,1623919442956,1623919449204
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_walking,1623919449210,1623919460313
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623919460319,1623919461548
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/difficulty_accessing_services,1623919461555,1623919475836
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/why_difficulty_services,1623919475843,1623919487085
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623919487094,1623919503087
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623919503094,1623919509757
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623919509764,1623919511567
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623919511572,1623919529081
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623919529088,1623919541320
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623919541328,1623919542686
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623919542692,1623919558187
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623919558194,1623919561622
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623919561627,1623919564276
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623919564283,1623919569001
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623919569008,1623919571471
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623919571477,1623919580960
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623919580966,1623919583792
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623919583801,1623919587045
