event,node,start,end
form start,,1623919762894,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623919762896,1623919765918
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623919765934,1623919767364
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623919767380,1623919770730
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623919770744,1623919773606
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623919773619,1623919787461
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623919787475,1623919788925
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623919788940,1623919790590
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623919790603,1623919792454
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623919792470,1623920170225
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623920170236,1623920171536
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623920171546,1623920175887
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623920175907,1623920197089
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623920197101,1623920199178
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623920199187,1623920289939
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623920289955,1623920364136
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623920364179,1623920365339
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623920365351,1623920366018
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623920366031,1623920370406
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623920370421,1623920374162
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623920374176,1623920389406
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623920389418,1623920562164
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623920562266,1623920592823
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623920592905,1623920633033
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623920633098,1623920634215
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623920634233,1623920691138
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623920691153,1623920710139
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623920710152,1623920734023
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623920734040,1623920735732
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623920735752,1623920751918
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not_other,1623920751940,1623920771712
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623920771730,1623920855219
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623920855236,1623920856172
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623920856186,1623920872322
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623920872336,1623920881200
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623920881214,1623920887509
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623920887529,1623920896314
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623920896332,1623920896974
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623920896987,1623920897668
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623920897683,1623920901899
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623920901919,1623920903553
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623920903561,1623920906268
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623920906290,1623920907759
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623920907777,1623920909881
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623920909894,1623920911356
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623920911371,1623920912249
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623920912264,1623920913625
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623920913644,1623920915840
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623920915857,1623920916910
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623920916925,1623920918796
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623920918809,1623920920981
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623920920999,1623920924928
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623920924947,1623920927267
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623920927282,1623920929029
