event,node,start,end
form start,,1623876547604,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623876547606,1623876582297
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623876582309,1623876585261
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623876585278,1623876595306
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623876595322,1623876598072
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623876598088,1623876606738
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623876606757,1623876609115
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623876609132,1623876611917
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623876611931,1623876615249
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623876615266,1623876617575
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623876617586,1623876620578
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623876620596,1623876633576
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623876633592,1623876638919
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623876638935,1623876640982
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623876640992,1623876642903
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623876642920,1623876644395
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623876644412,1623876645717
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623876645734,1623876648133
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623876648147,1623876649240
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623876649257,1623876650351
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623876650369,1623876654705
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623876654722,1623876656677
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623876656689,1623876857848
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623876857863,1623876928277
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623876928290,1623876930482
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623876930497,1623876934485
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623876934500,1623876944109
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623876944120,1623876984292
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623876984329,1623876986051
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623876986071,1623876988855
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623876988871,1623877007295
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623877007312,1623877181268
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623877181304,1623877282730
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623877282774,1623877403156
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623877403222,1623877405129
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623877405146,1623877423768
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623877423784,1623877433012
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623877433030,1623877461773
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623877461785,1623877478143
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_barriers,1623877478162,1623877497907
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623877497921,1623877511562
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623877511583,1623877518921
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623877518934,1623877532227
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623877532242,1623877554127
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623877554149,1623877557721
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623877557735,1623877577592
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623877577612,1623877582398
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623877582410,1623877588287
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623877588299,1623877607510
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623877607527,1623877618719
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623877618738,1623877621521
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623877621538,1623877627515
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623877627530,1623877631502
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623877631518,1623877639507
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623877639520,1623877642500
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623877642518,1623877646104
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623877646126,1623877648057
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623877648071,1623877654851
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623877654872,1623877658535
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623877658554,1623877661404
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623877661420,1623877671713
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623877671729,1623877682309
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623877682325,1623877707180
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623877707214,1623877710142
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623877710157,1623877717449
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623877717465,1623877726976
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623877726989,1623877728791
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623877728808,1623877742913
