event,node,start,end
form start,,1623921554940,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623921554944,1623921564615
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623921564623,1623921567476
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623921567481,1623921581229
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623921581240,1623921583695
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623921583709,1623921617058
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623921617066,1623921619441
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623921619458,1623921622320
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623921622328,1623921624691
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623921624696,1623921638862
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623921638869,1623921655452
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623921655459,1623921658732
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623921658738,1623921663752
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623921663757,1623921665912
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623921665919,1623921669594
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623921669602,1623921674960
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623921674969,1623921677504
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623921677509,1623921769783
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623921769815,1623921778066
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623921778072,1623921786263
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623921786269,1623921798770
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623921798778,1623921804358
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623921804366,1623921815208
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623921815214,1623921816729
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623921816734,1623921819652
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623921819659,1623921821856
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623921821861,1623921923823
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623921923848,1623921974320
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623921974344,1623921987783
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623921987815,1623921994117
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623921994140,1623922016550
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623922016592,1623922019984
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623922019990,1623922022546
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623922022552,1623922039891
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623922039898,1623922050401
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623922050408,1623922062046
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623922062052,1623922065330
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623922065336,1623922081064
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623922081070,1623922083265
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623922083270,1623922089379
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623922089386,1623922098657
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623922098662,1623922100018
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623922100025,1623922103078
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623922103084,1623922113145
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623922113152,1623922127006
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623922127011,1623922129466
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623922129474,1623922139112
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623922139120,1623922151438
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623922151446,1623922155403
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623922155410,1623922157399
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623922157407,1623922159785
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623922159791,1623922162787
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623922162795,1623922164706
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623922164711,1623922166731
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623922166738,1623922168747
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623922168755,1623922170733
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623922170739,1623922182041
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623922182047,1623922190965
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623922190972,1623922194446
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623922194453,1623922206302
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623922206307,1623922222466
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623922222481,1623922224778
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623922224791,1623922231494
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623922231500,1623922239720
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623922239727,1623922241097
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623922241105,1623922252637
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623922252643,1623922257771
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623922257799,1623922261500
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623922261505,1623922286025
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623922286041,1623922289385
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623922289390,1623922298450
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623922298457,1623922306401
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623922306408,1623922307679
