event,node,start,end
form start,,1623833359402,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623833359407,1623833363526
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623833363548,1623833365927
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623833365940,1623833375827
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623833375847,1623833380509
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623833380533,1623833390804
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623833390817,1623833393434
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623833393455,1623833395963
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623833395975,1623833399139
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623833399152,1623833401995
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623833402008,1623833408380
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623833408404,1623833413952
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623833413971,1623833425314
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623833425339,1623833427745
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623833427763,1623833429204
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623833429226,1623833669290
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623833669314,1623833671707
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623833671727,1623833681170
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623833681186,1623833683652
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623833683679,1623833687538
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623833687560,1623833691186
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623833691200,1623833694996
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623833695016,1623833720815
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623833720875,1623833722536
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623833722560,1623833726064
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623833726074,1623833731119
jump,,1623833731120,1623833733165
end screen,,1623833733198,1623833752368
constraint error,,1623833752508,
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623833752550,1623833759823
jump,,1623833759824,1623833761230
end screen,,1623833761261,1623833762903
form save,,1623833763146,
form exit,,1623833763146,
form resume,,1623833767998,
jump,,1623833767998,1623833771938
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623833771957,1623833775890
jump,,1623833775891,1623833777705
end screen,,1623833777736,1623833779173
form save,,1623833779400,
form exit,,1623833779400,
form resume,,1623839416948,
jump,,1623839416949,1623839435338
end screen,,1623839435362,1623839468437
constraint error,,1623839468540,
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623839468584,1623839470752
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623839470773,1623839471674
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623839471689,1623839472257
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623839472273,1623839472945
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623839472993,1623839473385
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623839473396,1623839473763
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623839473775,1623839474123
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623839474135,1623839474469
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623839474486,1623839475128
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623839475141,1623839475569
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623839475586,1623839476651
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623839476668,1623839477235
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623839477249,1623839477841
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623839477850,1623839478290
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623839478307,1623839478972
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623839478986,1623839480013
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623839480028,1623839481326
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623839481342,1623839482236
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623839482250,1623839484051
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623839484072,1623839484914
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623839484931,1623839485276
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623839485293,1623839485967
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623839485982,1623839486679
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623839486694,1623839487804
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623839487819,1623839488739
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623839488751,1623839490561
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623839490584,1623839493299
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623839493309,1623839504119
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623839504136,1623839509096
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623839509115,1623839525795
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623839525816,1623839558196
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623839558213,1623839560229
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623839560249,1623839564447
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623839564467,1623839566062
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623839566084,1623839570048
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623839570062,1623839623433
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623839623500,1623839630590
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623839630616,1623839633959
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623839633979,1623839652254
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623839652274,1623839729098
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623839729157,1623839841109
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623839841154,1623839950633
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623839950706,1623839955325
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623839955344,1623839963561
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623839963575,1623839965192
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623839965210,1623839969246
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623839969265,1623839980426
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623839980443,1623840004901
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623840004922,1623840026463
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623840026483,1623840039195
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623840039214,1623840045094
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623840045112,1623840079616
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623840079634,1623840113247
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623840113265,1623840114519
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623840114538,1623840125451
