event,node,start,end
form start,,1623826319766,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623826319768,1623826330292
jump,,1623826330295,1623826331784
end screen,,1623826331842,1623826333685
form save,,1623826333901,
form exit,,1623826333901,
form resume,,1623835900034,
jump,,1623835900035,1623836141047
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623835916954,1623836141047
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623836141064,1623836143399
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623836143413,1623836225014
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623836225030,1623836228445
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623836228461,1623836240952
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623836240968,1623836242937
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623836242952,1623836244694
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623836244706,1623836246948
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623836246959,1623836548697
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623836548706,1623836550271
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623836550284,1623836558524
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623836558539,1623836560120
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623836560139,1623836562113
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623836562123,1623836565452
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623836565468,1623836584462
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623836584500,1623836585827
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623836585844,1623836588105
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623836588117,1623836593546
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623836593560,1623836605864
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623836605915,1623836627099
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623836627157,1623836642647
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623836642705,1623836643623
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623836643639,1623836652782
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623836652798,1623836660896
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623836660911,1623836671081
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623836671096,1623836672917
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623836672937,1623836673594
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623836673607,1623836680571
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623836680585,1623836681605
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623836681623,1623836683873
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623836683881,1623836687676
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623836687692,1623836693903
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623836693913,1623836694837
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623836694852,1623836697589
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623836697603,1623836701586
