event,node,start,end
form start,,1623749151090,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623749151092,1623749156520
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623749156541,1623749159679
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623749159690,1623749188168
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623749188184,1623749191987
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623749192013,1623749200490
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623749200506,1623749201373
form resume,,1623751573546,
jump,,1623751573547,1623751583725
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623751579731,1623751583725
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623751583752,1623751585164
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623751585181,1623751585860
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623751585876,1623751586761
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623751586776,1623751588436
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623751588455,1623751589659
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623751589678,1623751625906
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623751625918,1623751636833
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623751636847,1623751638375
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623751638384,1623751650995
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623751651018,1623751655285
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623751655303,1623751659808
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623751659830,1623751671889
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623751671912,1623751672705
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623751672723,1623751673206
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623751673219,1623751673764
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623751673779,1623751675488
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623751675502,1623751685934
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623751685951,1623751689640
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623751689665,1623751690653
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623751690668,1623751691291
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623751691308,1623751692203
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623751692220,1623751696193
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623751696209,1623751697249
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623751697265,1623751699328
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623751699349,1623751701249
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623751701268,1623751706038
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623751706050,1623751711785
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623751711803,1623751723241
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623751723259,1623751725724
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623751725741,1623751729079
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623751729099,1623751731984
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623751732003,1623751888795
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623751888859,1623751903024
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623751903047,1623751915314
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623751915366,1623751916997
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623751917014,1623751923099
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623751923118,1623751932439
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623751932457,1623752004663
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623752004720,1623752093275
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623752093318,1623752171174
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623752171244,1623752173969
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623752173993,1623752175589
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623752175610,1623752177408
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623752177431,1623752178318
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623752178333,1623752179965
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623752179988,1623752188123
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623752188142,1623752198080
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623752198097,1623752233507
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623752233532,1623752237329
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623752237345,1623752240085
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623752240105,1623752247131
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623752247148,1623752269518
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623752269533,1623752295695
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623752295714,1623752299749
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623752299769,1623752305632
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623752305652,1623752332505
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/type_of_pss,1623752332522,1623752348518
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623752348539,1623752350504
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/type_of_pss,1623752350521,1623752351996
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623752352015,1623752370208
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623752370224,1623752372622
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623752372641,1623752378269
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623752378281,1623752391056
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623752391067,1623752399070
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623752399088,1623752403751
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623752403768,1623752407092
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623752407116,1623752407715
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623752407732,1623752411290
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623752411297,1623752412830
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623752412850,1623752421610
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623752421627,1623752422825
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623752422844,1623752427116
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623752427135,1623752434585
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623752434599,1623752442197
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623752442215,1623752458198
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623752458235,1623752468658
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623752468678,1623752474333
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623752474350,1623752481219
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623752481233,1623752485961
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623752485980,1623752488898
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623752488919,1623752491165
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623752491209,1623752493168
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623752493189,1623752507232
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623752507273,1623752512542
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623752512558,1623752516857
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623752516878,1623752529489
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/non_palestinian_threats,1623752529500,1623752536713
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623752536737,1623752541100
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/non_palestinian_threats,1623752541116,1623752547401
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623752547420,1623752549852
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623752549872,1623752576960
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/remote_learning,1623752576988,1623752578436
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623752578450,1623752579318
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/remote_learning,1623752579347,1623752614403
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623752614421,1623752615581
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/remote_learning,1623752615599,1623752617212
