event,node,start,end
form start,,1623829940879,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623829940882,1623829954116
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623829954122,1623829957506
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623829957512,1623829973673
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623829973680,1623829976483
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623829976491,1623829988367
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623829988373,1623829993748
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623829993753,1623830001656
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623830001662,1623830003836
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623830003841,1623830014283
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623830014290,1623830021719
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623830021728,1623830024380
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623830024385,1623830031056
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623830031062,1623830034028
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623830034034,1623830125468
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623830125501,1623830151864
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623830151872,1623830155249
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623830155256,1623830163261
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623830163267,1623830176724
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623830176729,1623830178685
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623830178692,1623830180708
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623830180716,1623830190962
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623830190969,1623830198974
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623830198980,1623830344531
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623830344556,1623830435431
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623830435457,1623830508662
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623830508690,1623830518912
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623830518919,1623830520153
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623830520160,1623830537262
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623830537267,1623830592098
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623830592104,1623830611778
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required_other,1623830611786,1623830624512
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623830624520,1623830628993
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623830628998,1623830652959
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623830652966,1623830666604
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623830666610,1623830668105
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623830668112,1623830699343
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623830699353,1623830723426
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/type_of_pss,1623830723432,1623830734602
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623830734608,1623830910216
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623830910222,1623830911497
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623830911504,1623830918508
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623830918514,1623830929823
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623830929828,1623830936954
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623830936960,1623830943345
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623830943350,1623830946769
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623830946774,1623830964647
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623830964654,1623830968051
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623830968060,1623830973377
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623830973383,1623831004952
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623831004968,1623831008128
question,/ahLxPkShSJwCFf2hsNoEbs/wash/solid_waste_disposal,1623831008133,1623831015132
question,/ahLxPkShSJwCFf2hsNoEbs/wash/waste_accumulation_days,1623831015139,1623831030619
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_start,1623831030624,1623831032018
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_type_inperson,1623831032023,1623831051928
group questions,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_description,1623831051935,1623831083530
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/occupancy_status,1623831083546,1623831087870
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/hh_risk_eviction,1623831087875,1623831096499
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623831096505,1623831139734
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623831139741,1623831141619
question,/ahLxPkShSJwCFf2hsNoEbs/shelter/shelter_issues,1623831141624,1623831149400
question,/ahLxPkShSJwCFf2hsNoEbs/education/education_start,1623831149409,1623831150719
group questions,/ahLxPkShSJwCFf2hsNoEbs/education/school_enrollment,1623831150725,1623831194683
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/dropout_num,1623831194695,1623831201655
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/catch_up_learning,1623831201663,1623831208898
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_going_children/planning_school_enrollment,1623831208905,1623831214606
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_pss_services,1623831214613,1623831228371
question,/ahLxPkShSJwCFf2hsNoEbs/education/primary_school_distance,1623831228378,1623831246985
question,/ahLxPkShSJwCFf2hsNoEbs/education/secondary_school_distance,1623831246993,1623831261636
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety,1623831261642,1623831285892
question,/ahLxPkShSJwCFf2hsNoEbs/education/school_safety_concerns,1623831285899,1623831299715
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/livelihoods_start,1623831299721,1623831301336
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/tot_income,1623831301342,1623831310963
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_covid,1623831310969,1623831320724
question,/ahLxPkShSJwCFf2hsNoEbs/livelihoods/income_change_conflict,1623831320733,1623831330119
