event,node,start,end
form start,,1623912484997,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623912485001,1623912490241
jump,,1623912490241,1623912495865
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623912495895,1623912657806
jump,,1623912657807,1623912659386
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623912659411,1623914484655
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623914484664,1623914496358
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623914496364,1623914500824
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623914500833,1623914516525
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623914516530,1623914536289
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623914536295,1623914539107
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623914539115,1623914542240
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623914542248,1623914544809
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623914544814,1623914548684
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623914548690,1623914683096
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623914683103,1623914685246
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623914685251,1623914688310
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623914688316,1623914694001
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623914694007,1623914746997
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623914747027,1623914752375
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623914752382,1623914781358
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623914781366,1623914790654
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623914790663,1623914796851
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623914796859,1623914803521
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623914803530,1623914810107
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623914810117,1623914929741
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623914929763,1623915032945
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623915032972,1623915187634
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623915187662,1623915190846
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623915190853,1623915192177
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623915192186,1623915225119
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623915225127,1623915247595
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623915247602,1623915283142
