event,node,start,end
form start,,1623952420992,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623952420995,1623952427305
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623952427321,1623952429789
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623952429806,1623952446830
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623952446845,1623952451434
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623952451450,1623952461062
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623952461078,1623952476472
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623952476493,1623952481214
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623952481228,1623952483778
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623952483797,1623952486309
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623952486320,1623952490734
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623952490755,1623952493496
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623952493514,1623952495829
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623952495846,1623952525618
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623952525639,1623952528213
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623952528231,1623952561958
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623952561982,1623952564877
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623952564891,1623952570232
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623952570249,1623952636981
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623952637027,1623952639402
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623952639422,1623952643171
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623952643189,1623952651050
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623952651068,1623952728295
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623952728334,1623952767483
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623952767536,1623952861856
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623952861921,1623952871189
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623952871203,1623952892393
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623952892408,1623952903652
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623952903675,1623952914779
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623952914800,1623952918815
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623952918830,1623952932526
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623952932543,1623952942468
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623952942485,1623952949102
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623952949122,1623952965002
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/num_disability,1623952965014,1623952967885
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_sex,1623952967904,1623952979503
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_age,1623952979515,1623952985810
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_seeing,1623952985822,1623953000403
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_hearing,1623953000417,1623953015308
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_communicating,1623953015325,1623953041308
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[2]/difficulty_sex,1623953041326,1623953055082
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[2]/difficulty_age,1623953055103,1623953059016
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[2]/difficulty_sex,1623953059032,1623953065619
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[2]/difficulty_age,1623953065638,1623953072093
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[2]/difficulty_seeing,1623953072104,1623953079448
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[2]/difficulty_hearing,1623953079468,1623953082779
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[2]/difficulty_communicating,1623953082803,1623953086901
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[3]/difficulty_sex,1623953086920,1623953101482
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[3]/difficulty_age,1623953101501,1623953105157
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[3]/difficulty_sex,1623953105172,1623953106387
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[2]/difficulty_communicating,1623953106406,1623953107199
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[2]/difficulty_hearing,1623953107220,1623953108021
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[2]/difficulty_seeing,1623953108043,1623953109222
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[2]/difficulty_age,1623953109245,1623953112933
jump,,1623953112934,1623953118762
end screen,,1623953118796,1623953120750
constraint error,,1623953120909,
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[3]/difficulty_age,1623953120945,1623953125050
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[3]/difficulty_sex,1623953125068,1623953126589
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[2]/difficulty_communicating,1623953126608,1623953127647
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[2]/difficulty_hearing,1623953127664,1623953128646
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[2]/difficulty_seeing,1623953128665,1623953129824
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[2]/difficulty_age,1623953129840,1623953131506
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[2]/difficulty_seeing,1623953131523,1623953132114
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[2]/difficulty_hearing,1623953132129,1623953133402
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[2]/difficulty_seeing,1623953133426,1623953134018
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[2]/difficulty_age,1623953134032,1623953134647
