event,node,start,end
form start,,1623836274700,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623836274703,1623836334570
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623836334576,1623836340341
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623836340347,1623836345971
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623836345976,1623836349351
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623836349356,1623836369368
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623836369376,1623836372365
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623836372372,1623836375079
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623836375088,1623836378543
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623836378548,1623836381235
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623836381240,1623836386500
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623836386508,1623836392151
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623836392158,1623836407707
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623836407715,1623836412113
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623836412119,1623836493693
jump,,1623836493695,1623836495915
end screen,,1623836495974,1623836504292
form save,,1623836504875,
form exit,,1623836504875,
form resume,,1623836528063,
jump,,1623836528063,1623836540104
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623836534592,1623836540104
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623836540109,1623836541239
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623836541246,1623836543946
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623836543953,1623836546736
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623836546742,1623836549566
