event,node,start,end
form start,,1623926959429,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623926959433,1623926963311
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623926963318,1623926965700
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623926965705,1623926977665
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623926977674,1623926980060
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623926980065,1623926999623
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623926999630,1623927002457
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623927002462,1623927007118
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623927007124,1623927009191
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623927009197,1623927016864
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623927016870,1623927019313
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623927019319,1623927021999
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623927022007,1623927064776
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623927064784,1623927067365
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623927067371,1623927069339
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623927069346,1623927074768
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623927074775,1623927077144
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623927077150,1623927134855
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623927134888,1623927137935
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623927137940,1623927141699
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623927141706,1623927153375
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623927153382,1623927170476
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623927170484,1623927177016
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623927177023,1623927181549
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623927181554,1623927274988
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623927275014,1623927351911
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623927351933,1623927408538
