event,node,start,end
form start,,1623924378365,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623924378368,1623924391811
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623924391819,1623924394105
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623924394110,1623924402172
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623924402180,1623924404777
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623924404783,1623924424949
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623924424958,1623924434646
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623924434652,1623924437633
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623924437641,1623924439708
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623924439713,1623924441606
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623924441612,1623924447598
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623924447604,1623924450222
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623924450231,1623924455795
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623924455800,1623924457701
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623924457706,1623924463118
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623924463126,1623924465269
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623924465274,1623924535752
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623924535785,1623924544010
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623924544017,1623924546841
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623924546847,1623924552631
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623924552639,1623924558227
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623924558233,1623924564166
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623924564173,1623924566616
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623924566622,1623924651270
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623924651295,1623924692646
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623924692667,1623924784890
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623924784932,1623924790856
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623924790863,1623924792075
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623924792081,1623924804323
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623924804330,1623924812233
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623924812240,1623924818714
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623924818720,1623924822143
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623924822150,1623924834158
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623924834164,1623924845603
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623924845608,1623924846970
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623924846980,1623924863587
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623924863592,1623924877776
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623924877782,1623924880421
