event,node,start,end
form start,,1623921049934,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623921049937,1623921136371
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623921136378,1623921140435
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623921140440,1623921164304
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623921164311,1623921167677
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623921167686,1623921175292
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623921175297,1623921178023
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623921178028,1623921181361
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623921181369,1623921185281
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623921185286,1623921187978
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623921187984,1623921190731
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623921190737,1623921193405
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623921193413,1623921197486
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623921197495,1623921206656
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623921206662,1623921210256
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623921210262,1623921213476
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623921213483,1623921216855
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623921216860,1623921316359
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623921316390,1623921322015
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623921322020,1623921330484
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623921330489,1623921338509
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623921338517,1623921344645
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623921344654,1623921352267
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623921352274,1623921365156
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623921365163,1623921441902
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623921441925,1623921523288
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623921523310,1623921530945
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623921530984,1623921532439
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623921532463,1623921534817
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623921534836,1623921536404
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623921536430,1623921652941
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623921652970,1623921655426
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623921655434,1623921656913
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623921656922,1623921671135
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623921671144,1623921681616
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623921681621,1623921696519
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623921696526,1623921713571
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_barriers,1623921713576,1623921795852
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623921795858,1623921800412
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623921800419,1623921870715
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623921870723,1623921873731
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623921873738,1623921883770
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623921883777,1623921942613
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623921942619,1623921943962
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623921943968,1623921956154
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623921956161,1623921968608
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623921968615,1623921973670
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/child_distress_number,1623921973676,1623921986282
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/adult_distress_number,1623921986288,1623921993066
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623921993076,1623922011713
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/type_of_pss,1623922011721,1623922020851
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623922020857,1623922035269
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623922035273,1623922036613
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623922036621,1623922046693
question,/ahLxPkShSJwCFf2hsNoEbs/wash/changed_drinking_source,1623922046700,1623922057768
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623922057776,1623922064080
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623922064088,1623922066551
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623922066558,1623922068862
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623922068869,1623922075111
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623922075117,1623922078143
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623922078149,1623922139711
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623922139717,1623922151798
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623922151813,1623922154276
