event,node,start,end
form start,,1623834189881,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623834189883,1623834193735
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623834193755,1623834195723
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623834195739,1623834205298
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623834205318,1623834209570
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623834209583,1623834217283
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623834217308,1623834219527
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623834219540,1623834221526
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623834221541,1623834224276
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623834224297,1623834231839
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623834231847,1623834239630
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623834239641,1623834243175
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623834243190,1623834245544
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623834245561,1623834249799
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623834249818,1623834251767
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623834251779,1623834257729
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623834257746,1623834260372
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623834260394,1623834267466
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623834267485,1623834311784
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623834311819,1623834313242
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623834313267,1623834320015
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623834320034,1623834326678
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623834326695,1623834438959
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623834439016,1623834537636
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623834537690,1623834610920
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623834611001,1623834614335
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623834614355,1623834630831
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623834630854,1623834639646
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623834639662,1623834647162
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623834647181,1623834651808
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623834651829,1623834672500
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623834672514,1623834681189
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623834681202,1623834683550
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623834683572,1623834692923
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623834692936,1623834701874
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/type_of_pss,1623834701892,1623834707674
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623834707694,1623834740162
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623834740179,1623834744804
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623834744814,1623834749139
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623834749155,1623834759330
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623834759340,1623834769907
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623834769921,1623834771825
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623834771837,1623834786004
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623834786022,1623834786860
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623834786884,1623834789064
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623834789083,1623834796599
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623834796620,1623834799626
