event,node,start,end
form start,,1623836124189,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623836124191,1623836134458
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623836134473,1623836136672
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623836136686,1623836143647
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623836143658,1623836146160
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623836146175,1623836158707
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623836158719,1623836160952
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623836160966,1623836163562
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623836163580,1623836166848
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623836166860,1623836168768
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623836168777,1623836178496
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623836178513,1623836182994
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623836183011,1623836192104
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623836192120,1623836201277
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623836201293,1623836203267
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623836203283,1623836206490
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623836206498,1623836209786
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623836209803,1623836218428
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623836218438,1623836236596
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623836236637,1623836237950
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623836237971,1623836240856
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623836240875,1623836250032
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623836250048,1623836394063
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623836394102,1623836408689
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623836408745,1623836482392
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623836482454,1623836483630
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623836483651,1623836498666
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623836498681,1623836526045
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/treatment_required,1623836526061,1623836530472
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/difficulty_accessing_treatment,1623836530491,1623836537465
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623836537475,1623836552204
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness_num,1623836552221,1623836557870
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_why_not,1623836557892,1623836574780
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623836574799,1623836644951
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/num_disability,1623836644968,1623836648619
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_sex,1623836648634,1623836650795
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_age,1623836650808,1623836655057
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_seeing,1623836655069,1623836661898
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_age,1623836661911,1623836665570
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_seeing,1623836665584,1623836682575
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/disabilities_loop/member[1]/difficulty_hearing,1623836682590,1623836693223
