event,node,start,end
form start,,1623736599848,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623736599850,1623736606039
jump,,1623736606040,1623736608681
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623736608709,1623736622823
jump,,1623736622824,1623736625315
end screen,,1623736625345,1623736633034
question,/ahLxPkShSJwCFf2hsNoEbs/thanks,1623736633034,1623736636947
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623736636952,1623736638542
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623736638549,1623736640963
jump,,1623736640963,1623736646263
end screen,,1623736646297,1623736649094
form save,,1623736649364,
form exit,,1623736649364,
form resume,,1623750277057,
jump,,1623750277058,1623750404570
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623750404601,1623750410931
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623750410938,1623750415847
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623750415853,1623752007863
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623752007877,1623752010286
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623752010291,1623752016893
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623752016902,1623752018303
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623752018308,1623752019750
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623752019757,1623752032718
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623752032727,1623752045893
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623752045899,1623752053221
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623752053227,1623752056885
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623752056893,1623752067033
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623752067038,1623752072716
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623752072724,1623752078732
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623752078740,1623752090970
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623752090976,1623752097172
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623752097181,1623752101202
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623752101211,1623752103866
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623752103872,1623752104776
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623752104781,1623752106219
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623752106224,1623752109666
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623752109672,1623752114189
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623752114215,1623752116817
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623752116825,1623752119769
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623752119775,1623752136887
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623752136894,1623752139511
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623752139523,1623752146145
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623752146169,1623752149708
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623752149714,1623752189786
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623752189814,1623752228234
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623752228240,1623752231699
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623752231706,1623752234909
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623752234915,1623752244318
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623752244325,1623752246855
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623752246865,1623752250959
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623752250965,1623752291510
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623752291536,1623752323204
