event,node,start,end
form start,,1623912807462,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623912807465,1623912812397
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623912812418,1623912814778
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623912814795,1623912824293
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623912824309,1623912834982
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623912834998,1623912848883
question,/ahLxPkShSJwCFf2hsNoEbs/oslo_area,1623912848899,1623912851154
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623912851164,1623912853206
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623912853216,1623912856342
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623912856362,1623912862125
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623912862138,1623912877500
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/will_to_response_r,1623912877521,1623912880773
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/relationship,1623912880791,1623912886650
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623912886667,1623912892684
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623912892702,1623912894797
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/sex_head_hh,1623912894812,1623912898894
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_wb,1623912898912,1623912901199
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623912901214,1623912906828
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623912906842,1623913067824
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623913067887,1623913071988
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623913072009,1623913076985
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623913077004,1623913086789
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623913086804,1623913197925
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623913197993,1623913320449
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623913320502,1623913361614
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623913361683,1623913366983
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623913367008,1623913380089
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623913380106,1623913395057
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/vaccine_willingness,1623913395080,1623913414268
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/presence_disability,1623913414288,1623913430022
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/disabilities/calc_tot_cwd_note,1623913430043,1623913432030
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/hh_member_distress,1623913432050,1623913451899
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/psychosocial_services,1623913451923,1623913474770
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/type_of_pss,1623913474789,1623913503341
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/women_specialised_services,1623913503364,1623913516717
question,/ahLxPkShSJwCFf2hsNoEbs/wash/wash_start,1623913516738,1623913532258
question,/ahLxPkShSJwCFf2hsNoEbs/wash/drinking_water_source,1623913532279,1623913549495
question,/ahLxPkShSJwCFf2hsNoEbs/wash/domestic_water_source,1623913549508,1623913562279
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines,1623913562290,1623913572784
question,/ahLxPkShSJwCFf2hsNoEbs/wash/shared_sanitation,1623913572804,1623913578153
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_items,1623913578178,1623913589835
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrines_lockable_inside,1623913589849,1623913606273
question,/ahLxPkShSJwCFf2hsNoEbs/wash/latrine_waste_drainage,1623913606293,1623913627396
group questions,/ahLxPkShSJwCFf2hsNoEbs/wash/water_sufficiency,1623913627414,1623913646239
question,/ahLxPkShSJwCFf2hsNoEbs/wash/num_of_floods,1623913646279,1623913659149
