event,node,start,end
form start,,1623827084422,
question,/ahLxPkShSJwCFf2hsNoEbs/enumerator_num,1623827084425,1623827091950
question,/ahLxPkShSJwCFf2hsNoEbs/location,1623827091963,1623827094465
question,/ahLxPkShSJwCFf2hsNoEbs/locality_code,1623827094469,1623827108339
question,/ahLxPkShSJwCFf2hsNoEbs/enumeration_area,1623827108346,1623827111903
question,/ahLxPkShSJwCFf2hsNoEbs/sample_id,1623827111916,1623827124011
question,/ahLxPkShSJwCFf2hsNoEbs/dc_method,1623827124018,1623827126533
question,/ahLxPkShSJwCFf2hsNoEbs/camp,1623827126545,1623827129657
question,/ahLxPkShSJwCFf2hsNoEbs/consent,1623827129664,1623827132005
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623827132010,1623827137988
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623827137994,1623827145350
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623827145360,1623827147559
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623827147564,1623827165118
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623827165130,1623827166595
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623827166601,1623827170218
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623827170234,1623827172075
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623827172079,1623827177796
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623827177802,1623827180408
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623827180413,1623827373009
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623827373033,1623827373177
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623827373181,1623827374261
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623827374268,1623827374456
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623827374462,1623827374927
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hhh_r,1623827374933,1623827376422
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/age_respondent_r,1623827376427,1623827382282
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/gender_respondent_r,1623827382291,1623827383596
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/hh_location_gaza,1623827383600,1623827384765
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/refugee_status,1623827384769,1623827386177
group questions,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/household_size,1623827386182,1623827502047
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/calc_note,1623827502080,1623827506193
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/preg_lactating,1623827506199,1623827524164
question,/ahLxPkShSJwCFf2hsNoEbs/hh_characteristics/chronic_illness,1623827524170,1623827529661
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/permanent_location,1623827529667,1623827540309
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/displacement_status,1623827540315,1623827543269
question,/ahLxPkShSJwCFf2hsNoEbs/displacement/currently_hosting_displaced,1623827543277,1623827549497
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_consumption,1623827549504,1623827684910
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/food_insecurity,1623827684937,1623827842252
group questions,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food_mitigation,1623827842275,1623827962223
question,/ahLxPkShSJwCFf2hsNoEbs/food_security/lack_of_food/no_food,1623827962254,1623828008576
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_start,1623828008581,1623828010127
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/distance_hospital,1623828010132,1623828026125
question,/ahLxPkShSJwCFf2hsNoEbs/health_group/health_accessed,1623828026133,1623828044465
